代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
516210.SH,20250620,1.434,1.444,1.424,1.444,1.427,0.017,1.1913,41513.0,5959.396
516210.SH,20250619,1.429,1.435,1.419,1.427,1.428,-0.001,-0.07,68855.0,9811.23
516210.SH,20250618,1.416,1.431,1.414,1.428,1.417,0.011,0.7763,65760.0,9350.26
516210.SH,20250617,1.418,1.428,1.414,1.417,1.418,-0.001,-0.0705,73119.0,10366.337
516210.SH,20250616,1.404,1.418,1.397,1.418,1.399,0.019,1.3581,52276.0,7341.198
516210.SH,20250613,1.411,1.413,1.397,1.399,1.411,-0.012,-0.8505,65816.0,9222.947
516210.SH,20250612,1.406,1.414,1.401,1.411,1.405,0.006,0.427,61834.0,8714.677
516210.SH,20250611,1.402,1.411,1.397,1.405,1.401,0.004,0.2855,69407.0,9750.646
516210.SH,20250610,1.392,1.415,1.392,1.401,1.395,0.006,0.4301,75089.0,10556.718
516210.SH,20250609,1.392,1.396,1.383,1.395,1.392,0.003,0.2155,68260.0,9490.254
516210.SH,20250606,1.387,1.398,1.387,1.392,1.387,0.005,0.3605,58588.0,8152.769
516210.SH,20250605,1.396,1.41,1.386,1.387,1.397,-0.01,-0.7158,69700.0,9693.665
516210.SH,20250604,1.395,1.402,1.391,1.397,1.395,0.002,0.1434,65460.0,9131.809
516210.SH,20250603,1.37,1.403,1.37,1.395,1.374,0.021,1.5284,72069.0,10006.645
516210.SH,20250530,1.365,1.4,1.36,1.374,1.362,0.012,0.8811,78545.0,10758.093
516210.SH,20250529,1.363,1.366,1.357,1.362,1.362,0.0,0.0,65649.0,8931.171
516210.SH,20250528,1.367,1.37,1.356,1.362,1.365,-0.003,-0.2198,58599.0,7986.111
516210.SH,20250527,1.356,1.371,1.354,1.365,1.355,0.01,0.738,74261.0,10141.285
516210.SH,20250526,1.365,1.37,1.354,1.355,1.367,-0.012,-0.8778,61412.0,8365.404
516210.SH,20250523,1.382,1.387,1.366,1.367,1.381,-0.014,-1.0138,74796.0,10304.754
516210.SH,20250522,1.368,1.382,1.363,1.381,1.367,0.014,1.0241,56522.0,7768.965
516210.SH,20250521,1.359,1.374,1.358,1.367,1.36,0.007,0.5147,65200.0,8917.918
516210.SH,20250520,1.355,1.369,1.355,1.36,1.355,0.005,0.369,74514.0,10135.822
516210.SH,20250519,1.42,1.42,1.354,1.355,1.36,-0.005,-0.3676,57966.0,7907.149
516210.SH,20250516,1.376,1.376,1.351,1.36,1.37,-0.01,-0.7299,83411.0,11320.23
516210.SH,20250515,1.374,1.384,1.367,1.37,1.374,-0.004,-0.2911,74193.0,10206.595
516210.SH,20250514,1.364,1.38,1.356,1.374,1.364,0.01,0.7331,68360.0,9346.24
516210.SH,20250513,1.342,1.364,1.339,1.364,1.342,0.022,1.6393,87237.0,11812.537
516210.SH,20250512,1.341,1.355,1.333,1.342,1.339,0.003,0.224,68402.0,9195.314
516210.SH,20250509,1.325,1.344,1.325,1.339,1.325,0.014,1.0566,85133.0,11400.78
516210.SH,20250508,1.302,1.326,1.302,1.325,1.308,0.017,1.2997,102584.0,13546.017
516210.SH,20250507,1.295,1.31,1.291,1.308,1.291,0.017,1.3168,61863.0,8041.676
516210.SH,20250506,1.293,1.293,1.28,1.291,1.291,0.0,0.0,58191.0,7487.374
516210.SH,20250430,1.311,1.311,1.287,1.291,1.319,-0.028,-2.1228,84126.0,10858.406
516210.SH,20250429,1.321,1.328,1.317,1.319,1.321,-0.002,-0.1514,72932.0,9635.416
516210.SH,20250428,1.31,1.325,1.31,1.321,1.312,0.009,0.686,75408.0,9955.354
516210.SH,20250425,1.313,1.322,1.306,1.312,1.315,-0.003,-0.2281,64777.0,8501.822
516210.SH,20250424,1.308,1.318,1.306,1.315,1.301,0.014,1.0761,63051.0,8279.353
516210.SH,20250423,1.308,1.309,1.299,1.301,1.308,-0.007,-0.5352,65565.0,8544.251
516210.SH,20250422,1.293,1.31,1.293,1.308,1.299,0.009,0.6928,74853.0,9778.931
516210.SH,20250421,1.311,1.325,1.298,1.299,1.315,-0.016,-1.2167,55465.0,7298.155
516210.SH,20250418,1.303,1.316,1.303,1.315,1.302,0.013,0.9985,84977.0,11135.409
516210.SH,20250417,1.305,1.305,1.288,1.302,1.301,0.001,0.0769,59506.0,7719.272
516210.SH,20250416,1.289,1.303,1.285,1.301,1.288,0.013,1.0093,61962.0,7985.475
516210.SH,20250415,1.273,1.29,1.273,1.288,1.271,0.017,1.3375,73618.0,9437.039
516210.SH,20250414,1.264,1.273,1.263,1.271,1.264,0.007,0.5538,94286.0,11970.094
516210.SH,20250411,1.256,1.264,1.252,1.264,1.261,0.003,0.2379,62389.0,7859.227
516210.SH,20250410,1.25,1.264,1.25,1.261,1.25,0.011,0.88,71530.0,9008.279
516210.SH,20250409,1.27,1.27,1.24,1.25,1.262,-0.012,-0.9509,74933.0,9361.332
516210.SH,20250408,1.241,1.263,1.238,1.262,1.236,0.026,2.1036,81662.0,10217.898
516210.SH,20250407,1.298,1.298,1.219,1.236,1.299,-0.063,-4.8499,88270.0,10995.288
516210.SH,20250403,1.291,1.302,1.29,1.299,1.295,0.004,0.3089,58649.0,7616.04
516210.SH,20250402,1.281,1.301,1.281,1.295,1.287,0.008,0.6216,76594.0,9920.239
516210.SH,20250401,1.29,1.294,1.28,1.287,1.295,-0.008,-0.6178,73434.0,9432.866
516210.SH,20250331,1.29,1.301,1.281,1.295,1.289,0.006,0.4655,81210.0,10510.805
516210.SH,20250328,1.295,1.295,1.286,1.289,1.294,-0.005,-0.3864,60938.0,7859.998
516210.SH,20250327,1.293,1.298,1.29,1.294,1.29,0.004,0.3101,59995.0,7767.929
516210.SH,20250326,1.299,1.302,1.287,1.29,1.306,-0.016,-1.2251,58456.0,7554.574
516210.SH,20250325,1.303,1.308,1.301,1.306,1.302,0.004,0.3072,60411.0,7873.543
516210.SH,20250324,1.289,1.302,1.289,1.302,1.289,0.013,1.0085,58935.0,7645.466
516210.SH,20250321,1.303,1.307,1.288,1.289,1.305,-0.016,-1.2261,48646.0,6315.043
516210.SH,20250320,1.312,1.314,1.302,1.305,1.312,-0.007,-0.5335,46658.0,6089.93
516210.SH,20250319,1.258,1.313,1.258,1.312,1.294,0.018,1.391,58724.0,7623.04
516210.SH,20250318,1.29,1.301,1.29,1.294,1.295,-0.001,-0.0772,55888.0,7243.505
516210.SH,20250317,1.292,1.301,1.289,1.295,1.289,0.006,0.4655,72062.0,9337.063
516210.SH,20250314,1.274,1.298,1.274,1.289,1.274,0.015,1.1774,87432.0,11282.801
516210.SH,20250313,1.271,1.279,1.269,1.274,1.269,0.005,0.394,85659.0,10923.059
516210.SH,20250312,1.265,1.274,1.265,1.269,1.27,-0.001,-0.0787,63832.0,8113.395
516210.SH,20250311,1.261,1.271,1.261,1.27,1.264,0.006,0.4747,58984.0,7452.098
516210.SH,20250310,1.28,1.28,1.261,1.264,1.274,-0.01,-0.7849,79991.0,10119.574
516210.SH,20250307,1.273,1.279,1.269,1.274,1.272,0.002,0.1572,68452.0,8713.598
516210.SH,20250306,1.273,1.277,1.267,1.272,1.278,-0.006,-0.4695,68900.0,8776.675
516210.SH,20250305,1.267,1.28,1.267,1.278,1.259,0.019,1.5091,80996.0,10311.589
516210.SH,20250304,1.268,1.268,1.257,1.259,1.262,-0.003,-0.2377,56656.0,7146.082
516210.SH,20250303,1.264,1.267,1.253,1.262,1.262,0.0,0.0,67607.0,8515.562
516210.SH,20250228,1.268,1.275,1.262,1.262,1.268,-0.006,-0.4732,82642.0,10480.219
516210.SH,20250227,1.254,1.269,1.246,1.268,1.254,0.014,1.1164,78990.0,9924.753
516210.SH,20250226,1.25,1.263,1.249,1.254,1.246,0.008,0.6421,83236.0,10451.303
516210.SH,20250225,1.263,1.263,1.246,1.246,1.257,-0.011,-0.8751,83585.0,10478.42
516210.SH,20250224,1.262,1.274,1.256,1.257,1.268,-0.011,-0.8675,81962.0,10337.645
516210.SH,20250221,1.292,1.292,1.265,1.268,1.284,-0.016,-1.2461,99163.0,12598.995
516210.SH,20250220,1.283,1.286,1.277,1.284,1.283,0.001,0.0779,94562.0,12127.472
516210.SH,20250219,1.295,1.295,1.282,1.283,1.289,-0.006,-0.4655,80554.0,10373.624
516210.SH,20250218,1.274,1.296,1.274,1.289,1.277,0.012,0.9397,80453.0,10390.051
516210.SH,20250217,1.28,1.28,1.268,1.277,1.278,-0.001,-0.0782,108817.0,13832.916
516210.SH,20250214,1.272,1.28,1.269,1.278,1.274,0.004,0.314,88071.0,11223.796
516210.SH,20250213,1.271,1.278,1.271,1.274,1.271,0.003,0.236,74471.0,9502.246
516210.SH,20250212,1.259,1.273,1.255,1.271,1.264,0.007,0.5538,38668.0,4891.001
516210.SH,20250211,1.257,1.264,1.257,1.264,1.254,0.01,0.7974,90081.0,11359.021
516210.SH,20250210,1.259,1.261,1.245,1.254,1.253,0.001,0.0798,52968.0,6636.237
516210.SH,20250207,1.25,1.255,1.248,1.253,1.255,-0.002,-0.1594,80485.0,10064.785
516210.SH,20250206,1.257,1.262,1.247,1.255,1.254,0.001,0.0797,55049.0,6907.793
516210.SH,20250205,1.27,1.3,1.254,1.254,1.262,-0.008,-0.6339,105665.0,13294.508
516210.SH,20250127,1.257,1.279,1.257,1.262,1.258,0.004,0.318,77711.0,9896.101
516210.SH,20250124,1.252,1.264,1.239,1.258,1.257,0.001,0.0796,90447.0,11353.29
516210.SH,20250123,1.237,1.26,1.237,1.257,1.226,0.031,2.5285,19008.0,2378.674
516210.SH,20250122,1.245,1.246,1.223,1.226,1.248,-0.022,-1.7628,45033.0,5528.648
516210.SH,20250121,1.25,1.255,1.242,1.248,1.249,-0.001,-0.0801,23948.0,2988.878
516210.SH,20250120,1.253,1.258,1.247,1.249,1.253,-0.004,-0.3192,74462.0,9341.354
516210.SH,20250117,1.25,1.261,1.247,1.253,1.259,-0.006,-0.4766,41103.0,5146.797
516210.SH,20250116,1.249,1.261,1.245,1.259,1.248,0.011,0.8814,74620.0,9361.195
516210.SH,20250115,1.242,1.262,1.242,1.248,1.239,0.009,0.7264,36307.0,4539.64
516210.SH,20250114,1.23,1.241,1.227,1.239,1.221,0.018,1.4742,64950.0,8006.804
516210.SH,20250113,1.235,1.235,1.216,1.221,1.237,-0.016,-1.2935,75165.0,9193.107
516210.SH,20250110,1.246,1.249,1.226,1.237,1.243,-0.006,-0.4827,69443.0,8578.654
516210.SH,20250109,1.251,1.251,1.233,1.243,1.25,-0.007,-0.56,43468.0,5399.478
516210.SH,20250108,1.24,1.257,1.236,1.25,1.242,0.008,0.6441,66021.0,8243.796
516210.SH,20250107,1.238,1.242,1.227,1.242,1.235,0.007,0.5668,73441.0,9076.671
516210.SH,20250106,1.222,1.235,1.208,1.235,1.222,0.013,1.0638,40802.0,4993.136
516210.SH,20250103,1.231,1.238,1.219,1.222,1.232,-0.01,-0.8117,73275.0,8992.079
516210.SH,20250102,1.265,1.267,1.227,1.232,1.258,-0.026,-2.0668,49125.0,6138.587
516210.SH,20241231,1.269,1.282,1.258,1.258,1.273,-0.015,-1.1783,64586.0,8234.024
516210.SH,20241230,1.259,1.276,1.258,1.273,1.259,0.014,1.112,74218.0,9419.99
516210.SH,20241227,1.256,1.261,1.236,1.259,1.261,-0.002,-0.1586,57617.0,7208.127
516210.SH,20241226,1.265,1.265,1.246,1.261,1.264,-0.003,-0.2373,98451.0,12346.982
516210.SH,20241225,1.25,1.269,1.25,1.264,1.248,0.016,1.2821,59163.0,7445.488
516210.SH,20241224,1.233,1.25,1.229,1.248,1.233,0.015,1.2165,92175.0,11449.214
516210.SH,20241223,1.21,1.24,1.21,1.233,1.212,0.021,1.7327,62636.0,7700.154
516210.SH,20241220,1.216,1.222,1.21,1.212,1.213,-0.001,-0.0824,93307.0,11341.319
516210.SH,20241219,1.224,1.228,1.189,1.213,1.23,-0.017,-1.3821,60242.0,7340.37
516210.SH,20241218,1.211,1.233,1.211,1.23,1.21,0.02,1.6529,54444.0,6685.449
516210.SH,20241217,1.22,1.221,1.209,1.21,1.215,-0.005,-0.4115,42673.0,5181.148
516210.SH,20241216,1.204,1.221,1.19,1.215,1.204,0.011,0.9136,68292.0,8285.515
516210.SH,20241213,1.215,1.216,1.202,1.204,1.227,-0.023,-1.8745,52357.0,6332.698
516210.SH,20241212,1.21,1.227,1.21,1.227,1.21,0.017,1.405,62596.0,7662.201
516210.SH,20241211,1.227,1.23,1.208,1.21,1.224,-0.014,-1.1438,90386.0,10993.176
516210.SH,20241210,1.229,1.237,1.218,1.224,1.212,0.012,0.9901,92095.0,11276.983
516210.SH,20241209,1.203,1.216,1.203,1.212,1.208,0.004,0.3311,45878.0,5538.739
516210.SH,20241206,1.193,1.213,1.193,1.208,1.194,0.014,1.1725,112121.0,13546.049
516210.SH,20241205,1.194,1.202,1.193,1.194,1.196,-0.002,-0.1672,79593.0,9518.367
516210.SH,20241204,1.187,1.201,1.185,1.196,1.195,0.001,0.0837,87645.0,10480.452
516210.SH,20241203,1.179,1.195,1.176,1.195,1.179,0.016,1.3571,74634.0,8835.705
516210.SH,20241202,1.179,1.18,1.173,1.179,1.182,-0.003,-0.2538,93985.0,11055.577
516210.SH,20241129,1.187,1.196,1.182,1.182,1.181,0.001,0.0847,46162.0,5493.217
516210.SH,20241128,1.183,1.189,1.176,1.181,1.183,-0.002,-0.1691,89227.0,10562.329
516210.SH,20241127,1.172,1.184,1.165,1.183,1.172,0.011,0.9386,73655.0,8670.588
516210.SH,20241126,1.156,1.173,1.155,1.172,1.161,0.011,0.9475,47575.0,5564.197
516210.SH,20241125,1.16,1.169,1.16,1.161,1.16,0.001,0.0862,35708.0,4154.403
516210.SH,20241122,1.183,1.183,1.16,1.16,1.185,-0.025,-2.1097,52949.0,6228.968
516210.SH,20241121,1.187,1.188,1.18,1.185,1.187,-0.002,-0.1685,53393.0,6314.096
516210.SH,20241120,1.191,1.196,1.184,1.187,1.194,-0.007,-0.5863,54584.0,6492.114
