代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
512990.SH,20250620,1.588,1.592,1.586,1.586,1.587,-0.001,-0.063,11429.0,1816.295
512990.SH,20250619,1.601,1.601,1.584,1.587,1.601,-0.014,-0.8745,48043.0,7646.966
512990.SH,20250618,1.599,1.628,1.592,1.601,1.597,0.004,0.2505,9892.0,1577.597
512990.SH,20250617,1.601,1.602,1.595,1.597,1.599,-0.002,-0.1251,6436.0,1028.207
512990.SH,20250616,1.594,1.599,1.594,1.599,1.597,0.002,0.1252,4202.0,671.105
512990.SH,20250613,1.608,1.608,1.592,1.597,1.608,-0.011,-0.6841,39397.0,6293.504
512990.SH,20250612,1.605,1.61,1.604,1.608,1.607,0.001,0.0622,32485.0,5220.143
512990.SH,20250611,1.598,1.611,1.598,1.607,1.595,0.012,0.7524,6284.0,1009.526
512990.SH,20250610,1.604,1.607,1.591,1.595,1.602,-0.007,-0.437,5247.0,842.387
512990.SH,20250609,1.6,1.606,1.599,1.602,1.598,0.004,0.2503,4127.0,661.955
512990.SH,20250606,1.6,1.6,1.597,1.598,1.6,-0.002,-0.125,4080.0,652.626
512990.SH,20250605,1.595,1.6,1.594,1.6,1.592,0.008,0.5025,1658.0,264.738
512990.SH,20250604,1.588,1.596,1.588,1.592,1.586,0.006,0.3783,3869.0,616.666
512990.SH,20250603,1.583,1.59,1.582,1.586,1.588,-0.002,-0.1259,10809.0,1713.385
512990.SH,20250530,1.592,1.592,1.581,1.588,1.59,-0.002,-0.1258,15745.0,2498.611
512990.SH,20250529,1.581,1.593,1.58,1.59,1.58,0.01,0.6329,10220.0,1625.327
512990.SH,20250528,1.583,1.586,1.58,1.58,1.584,-0.004,-0.2525,905.0,143.252
512990.SH,20250527,1.591,1.591,1.58,1.584,1.591,-0.007,-0.44,11510.0,1822.801
512990.SH,20250526,1.599,1.599,1.586,1.591,1.6,-0.009,-0.5625,6262.0,996.866
512990.SH,20250523,1.611,1.616,1.598,1.6,1.611,-0.011,-0.6828,14395.0,2309.354
512990.SH,20250522,1.609,1.615,1.608,1.611,1.614,-0.003,-0.1859,9277.0,1494.166
512990.SH,20250521,1.611,1.618,1.611,1.614,1.607,0.007,0.4356,8991.0,1452.15
512990.SH,20250520,1.598,1.61,1.598,1.607,1.598,0.009,0.5632,14892.0,2389.531
512990.SH,20250519,1.603,1.603,1.594,1.598,1.604,-0.006,-0.3741,2475.0,395.424
512990.SH,20250516,1.611,1.611,1.597,1.604,1.608,-0.004,-0.2488,8370.0,1341.883
512990.SH,20250515,1.619,1.62,1.608,1.608,1.622,-0.014,-0.8631,9363.0,1510.332
512990.SH,20250514,1.605,1.629,1.604,1.622,1.605,0.017,1.0592,12994.0,2096.429
512990.SH,20250513,1.603,1.609,1.603,1.605,1.6,0.005,0.3125,25033.0,4020.036
512990.SH,20250512,1.587,1.602,1.587,1.6,1.586,0.014,0.8827,24974.0,3991.617
512990.SH,20250509,1.587,1.589,1.583,1.586,1.588,-0.002,-0.1259,15583.0,2472.237
