代码,日期,上日收盘,开盘价,最高价,最低价,收盘价,涨跌,涨幅%,成交量(手数),成交额(千元)
560960.SH,20250328,0.805,0.807,0.807,0.8,0.802,-0.003,-0.3727,48290.0,3881.317
560960.SH,20250327,0.808,0.807,0.812,0.801,0.805,-0.003,-0.3713,60913.0,4916.731
560960.SH,20250326,0.806,0.806,0.81,0.805,0.808,0.002,0.2481,79559.0,6426.957
560960.SH,20250325,0.802,0.806,0.807,0.802,0.806,0.004,0.4988,80660.0,6493.017
560960.SH,20250324,0.801,0.801,0.804,0.798,0.802,0.001,0.1248,86357.0,6917.941
560960.SH,20250321,0.819,0.816,0.816,0.799,0.801,-0.018,-2.1978,92406.0,7460.565
560960.SH,20250320,0.821,0.819,0.821,0.816,0.819,-0.002,-0.2436,92835.0,7606.249
560960.SH,20250319,0.814,0.813,0.824,0.811,0.821,0.007,0.86,99282.0,8137.187
560960.SH,20250318,0.813,0.816,0.816,0.812,0.814,0.001,0.123,62750.0,5109.477
560960.SH,20250317,0.814,0.819,0.819,0.812,0.813,-0.001,-0.1229,86237.0,7025.822
560960.SH,20250314,0.797,0.799,0.815,0.797,0.814,0.017,2.133,89383.0,7232.315
560960.SH,20250313,0.8,0.819,0.819,0.794,0.797,-0.003,-0.375,90746.0,7243.694
560960.SH,20250312,0.801,0.8,0.802,0.799,0.8,-0.001,-0.1248,69496.0,5561.555
560960.SH,20250311,0.802,0.792,0.801,0.792,0.801,-0.001,-0.1247,87660.0,6985.427
560960.SH,20250310,0.803,0.805,0.806,0.797,0.802,-0.001,-0.1245,124092.0,9915.185
560960.SH,20250307,0.808,0.805,0.809,0.802,0.803,-0.005,-0.6188,82870.0,6669.962
560960.SH,20250306,0.801,0.804,0.809,0.802,0.808,0.007,0.8739,79623.0,6402.378
560960.SH,20250305,0.802,0.802,0.802,0.795,0.801,-0.001,-0.1247,113918.0,9098.756
560960.SH,20250304,0.807,0.808,0.808,0.794,0.802,-0.005,-0.6196,93629.0,7472.502
560960.SH,20250303,0.797,0.814,0.816,0.801,0.807,0.01,1.2547,93813.0,7595.267
560960.SH,20250228,0.814,0.81,0.814,0.797,0.797,-0.017,-2.0885,124371.0,10035.911
560960.SH,20250227,0.814,0.817,0.817,0.809,0.814,0.0,0.0,88919.0,7221.168
560960.SH,20250226,0.801,0.801,0.814,0.801,0.814,0.013,1.623,106666.0,8644.711
560960.SH,20250225,0.805,0.8,0.807,0.799,0.801,-0.004,-0.4969,113515.0,9134.044
560960.SH,20250224,0.808,0.802,0.811,0.801,0.805,-0.003,-0.3713,137128.1,11050.066
560960.SH,20250221,0.799,0.8,0.808,0.8,0.808,0.009,1.1264,93016.0,7496.815
560960.SH,20250220,0.802,0.802,0.802,0.795,0.799,-0.003,-0.3741,63083.0,5036.892
560960.SH,20250219,0.795,0.795,0.803,0.795,0.802,0.007,0.8805,73453.0,5860.406
560960.SH,20250218,0.795,0.799,0.807,0.792,0.795,0.0,0.0,110996.0,8884.505
560960.SH,20250217,0.796,0.798,0.798,0.789,0.795,-0.001,-0.1256,99423.0,7870.799
560960.SH,20250214,0.788,0.792,0.801,0.791,0.796,0.008,1.0152,94760.0,7534.743
560960.SH,20250213,0.793,0.79,0.795,0.787,0.788,-0.005,-0.6305,125882.0,9967.822
560960.SH,20250212,0.783,0.779,0.793,0.777,0.793,0.01,1.2771,64064.0,5012.704
560960.SH,20250211,0.793,0.79,0.791,0.782,0.783,-0.01,-1.261,83850.0,6575.673
560960.SH,20250210,0.799,0.799,0.799,0.785,0.793,-0.006,-0.7509,95344.0,7532.901
560960.SH,20250207,0.782,0.782,0.801,0.782,0.799,0.017,2.1739,117284.0,9301.785
560960.SH,20250206,0.762,0.762,0.782,0.759,0.782,0.02,2.6247,447227.0,34077.108
560960.SH,20250205,0.765,0.764,0.765,0.76,0.762,-0.003,-0.3922,90451.0,6895.536
