日期,代码,名称,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元),复权因子
20140609,159901.SZ,易方达深证100ETF,0.511,0.517,0.51,0.511,0.513,-0.002,-0.3899,2907891.51,149179.5409,5.154
20140609,159902.SZ,华夏中小企业100ETF,2.162,2.172,2.152,2.154,2.167,-0.013,-0.5999,294594.41,63710.0313,1.048
20140609,159903.SZ,南方深证成份ETF,0.757,0.767,0.757,0.759,0.759,0.0,0.0,138953.82,10597.0237,1.0
20140609,159905.SZ,深红利ETF,0.646,0.647,0.646,0.646,0.642,0.004,0.6231,5003.0,323.194,1.0
20140609,159906.SZ,大成深证成长40ETF,0.662,0.662,0.662,0.662,0.663,-0.001,-0.1508,95.0,6.289,1.0
20140609,159907.SZ,广发国证2000ETF,0.921,0.925,0.917,0.917,0.922,-0.005,-0.5423,37150.77,3419.4792,1.0
20140609,159908.SZ,博时创业板ETF,0.64,0.64,0.64,0.64,0.641,-0.001,-0.156,579.0,37.056,1.0
20140609,159909.SZ,深证TMT50ETF,3.409,3.421,3.409,3.421,3.501,-0.08,-2.2851,7.07,2.4144,1.0
20140609,159912.SZ,汇添富深证300ETF,0.842,0.849,0.841,0.842,0.842,0.0,0.0,16142.0,1365.1814,1.0
20140609,159913.SZ,交银深证300价值ETF,0.861,0.861,0.861,0.861,0.851,0.01,1.1751,81.0,6.9741,1.0
20140609,159915.SZ,易方达创业板ETF,1.315,1.321,1.294,1.294,1.321,-0.027,-2.0439,1061738.91,139065.885,1.0
20140609,159916.SZ,建信深证基本面60ETF,1.435,1.435,1.36,1.36,1.42,-0.06,-4.2254,1.1,0.1571,1.0
20140609,159918.SZ,嘉实中创400ETF,1.314,1.314,1.314,1.314,1.314,0.0,0.0,2.0,0.2628,1.0
20140609,159919.SZ,嘉实沪深300ETF,2.18,2.211,2.178,2.187,2.188,-0.001,-0.0457,776610.3,170255.6601,0.382
20140609,159920.SZ,华夏恒生ETF,1.067,1.068,1.064,1.066,1.067,-0.001,-0.0937,3275.03,348.7479,1.0
