date,code,ema_fast,ema_slow,dif,dea,macd_bar,calc_time
2025-06-27,518890,7.422272,7.442397,-0.020124,0.002805,-0.045858,2025-06-29 17:12:41
2025-06-26,518890,7.446064,7.455321,-0.009257,0.008537,-0.035588,2025-06-29 17:12:41
2025-06-25,518890,7.454083,7.459987,-0.005904,0.012986,-0.037779,2025-06-29 17:12:41
2025-06-24,518890,7.466107,7.465985,0.000122,0.017708,-0.035172,2025-06-29 17:12:41
2025-06-23,518890,7.488137,7.475608,0.012529,0.022105,-0.019151,2025-06-29 17:12:41
2025-06-20,518890,7.491033,7.475309,0.015724,0.024498,-0.017548,2025-06-29 17:12:41
2025-06-19,518890,7.505329,7.479598,0.025731,0.026692,-0.001922,2025-06-29 17:12:41
2025-06-18,518890,7.512851,7.479672,0.033179,0.026932,0.012493,2025-06-29 17:12:41
2025-06-17,518890,7.51138,7.474881,0.036499,0.02537,0.022256,2025-06-29 17:12:41
2025-06-16,518890,7.510917,7.470116,0.040801,0.022588,0.036425,2025-06-29 17:12:41
2025-06-13,518890,7.491179,7.456381,0.034798,0.018035,0.033526,2025-06-29 17:12:41
2025-06-12,518890,7.458373,7.437679,0.020694,0.013845,0.0137,2025-06-29 17:12:41
2025-06-11,518890,7.442194,7.428014,0.014181,0.012132,0.004097,2025-06-29 17:12:41
2025-06-10,518890,7.441392,7.42589,0.015502,0.01162,0.007764,2025-06-29 17:12:41
2025-06-09,518890,7.444076,7.425126,0.018949,0.010649,0.0166,2025-06-29 17:12:41
2025-06-06,518890,7.450955,7.425767,0.025187,0.008574,0.033226,2025-06-29 17:12:41
2025-06-05,518890,7.439227,7.417488,0.021739,0.004421,0.034636,2025-06-29 17:12:41
2025-06-04,518890,7.422721,7.407549,0.015172,9.2e-05,0.03016,2025-06-29 17:12:41
2025-06-03,518890,7.404927,7.397868,0.007059,-0.003678,0.021475,2025-06-29 17:12:41
2025-05-30,518890,7.378906,7.385601,-0.006695,-0.006363,-0.000665,2025-06-29 17:12:41
2025-05-29,518890,7.376594,7.385427,-0.008833,-0.006279,-0.005107,2025-06-29 17:12:41
2025-05-28,518890,7.394763,7.39448,0.000283,-0.005641,0.011849,2025-06-29 17:12:41
2025-05-27,518890,7.395838,7.394915,0.000924,-0.007122,0.016091,2025-06-29 17:12:41
2025-05-26,518890,7.400078,7.396654,0.003424,-0.009133,0.025114,2025-06-29 17:12:41
2025-05-23,518890,7.384957,7.389611,-0.004654,-0.012273,0.015238,2025-06-29 17:12:41
2025-05-22,518890,7.361231,7.379812,-0.018581,-0.014177,-0.008808,2025-06-29 17:12:41
2025-05-21,518890,7.331011,7.368914,-0.037903,-0.013076,-0.049653,2025-06-29 17:12:41
2025-05-20,518890,7.293014,7.357028,-0.064014,-0.00687,-0.114288,2025-06-29 17:12:41
2025-05-19,518890,7.311875,7.373282,-0.061406,0.007416,-0.137645,2025-06-29 17:12:41
2025-05-16,518890,7.332126,7.389817,-0.057691,0.024622,-0.164626,2025-06-29 17:12:41
2025-05-15,518890,7.368447,7.412919,-0.044472,0.0452,-0.179343,2025-06-29 17:12:41
2025-05-14,518890,7.451718,7.454909,-0.003191,0.067618,-0.141618,2025-06-29 17:12:41
2025-05-13,518890,7.495923,7.474647,0.021276,0.08532,-0.128089,2025-06-29 17:12:41
2025-05-12,518890,7.537901,7.490353,0.047548,0.101331,-0.107567,2025-06-29 17:12:41
2025-05-09,518890,7.579015,7.502397,0.076618,0.114777,-0.076318,2025-06-29 17:12:41
2025-05-08,518890,7.586163,7.495947,0.090216,0.124317,-0.068203,2025-06-29 17:12:41
2025-05-07,518890,7.589352,7.486066,0.103286,0.132842,-0.059111,2025-06-29 17:12:41
2025-05-06,518890,7.559738,7.460199,0.09954,0.140231,-0.081383,2025-06-29 17:12:41
2025-04-30,518890,7.539664,7.438974,0.10069,0.150404,-0.099428,2025-06-29 17:12:41
2025-04-29,518890,7.55471,7.43297,0.12174,0.162833,-0.082185,2025-06-29 17:12:41
2025-04-28,518890,7.560342,7.420217,0.140125,0.173106,-0.065961,2025-06-29 17:12:41
2025-04-25,518890,7.580725,7.411619,0.169107,0.181351,-0.024489,2025-06-29 17:12:41
2025-04-24,518890,7.585504,7.392571,0.192933,0.184412,0.017042,2025-06-29 17:12:41
2025-04-23,518890,7.580219,7.366142,0.214077,0.182282,0.06359,2025-06-29 17:12:41
2025-04-22,518890,7.591425,7.344285,0.247139,0.174333,0.145613,2025-06-29 17:12:41
2025-04-21,518890,7.471546,7.260946,0.2106,0.156131,0.108938,2025-06-29 17:12:41
2025-04-18,518890,7.390845,7.199314,0.191531,0.142514,0.098034,2025-06-29 17:12:41
2025-04-17,518890,7.327943,7.147853,0.18009,0.13026,0.099661,2025-06-29 17:12:41
2025-04-16,518890,7.252784,7.09246,0.160324,0.117802,0.085045,2025-06-29 17:12:41
2025-04-15,518890,7.178437,7.039892,0.138545,0.107171,0.062746,2025-06-29 17:12:41
2025-04-14,518890,7.129705,7.001254,0.128451,0.099328,0.058245,2025-06-29 17:12:41
2025-04-11,518890,7.067049,6.957786,0.109263,0.092048,0.034431,2025-06-29 17:12:41
2025-04-10,518890,7.00792,6.918259,0.089661,0.087744,0.003835,2025-06-29 17:12:41
2025-04-09,518890,6.964754,6.888166,0.076588,0.087264,-0.021352,2025-06-29 17:12:41
2025-04-08,518890,6.952684,6.873312,0.079372,0.089933,-0.021122,2025-06-29 17:12:41
2025-04-07,518890,6.962023,6.867476,0.094546,0.092574,0.003946,2025-06-29 17:12:41
2025-04-03,518890,6.980315,6.863661,0.116654,0.09208,0.049148,2025-06-29 17:12:41
2025-04-02,518890,6.943548,6.832993,0.110554,0.085937,0.049235,2025-06-29 17:12:41
2025-04-01,518890,6.91199,6.805368,0.106622,0.079783,0.05368,2025-06-29 17:12:41
2025-03-31,518890,6.865987,6.771913,0.094073,0.073073,0.042002,2025-06-29 17:12:41
2025-03-28,518890,6.821697,6.740778,0.08092,0.067822,0.026195,2025-06-29 17:12:41
2025-03-27,518890,6.78304,6.71375,0.06929,0.064548,0.009484,2025-06-29 17:12:41
2025-03-26,518890,6.771337,6.699969,0.071368,0.063362,0.016011,2025-06-29 17:12:41
2025-03-25,518890,6.758861,6.68559,0.073272,0.061361,0.023822,2025-06-29 17:12:41
2025-03-24,518890,6.748822,6.672038,0.076784,0.058383,0.0368,2025-06-29 17:12:41
2025-03-21,518890,6.729914,6.654168,0.075746,0.053783,0.043925,2025-06-29 17:12:41
2025-03-20,518890,6.711603,6.636689,0.074914,0.048293,0.053243,2025-06-29 17:12:41
2025-03-19,518890,6.678347,6.612775,0.065572,0.041637,0.047869,2025-06-29 17:12:41
2025-03-18,518890,6.640161,6.587872,0.052289,0.035654,0.03327,2025-06-29 17:12:41
2025-03-17,518890,6.610492,6.568356,0.042136,0.031495,0.021283,2025-06-29 17:12:41
2025-03-14,518890,6.585776,6.552276,0.0335,0.028835,0.009331,2025-06-29 17:12:41
2025-03-13,518890,6.555998,6.53506,0.020937,0.027668,-0.013462,2025-06-29 17:12:41
2025-03-12,518890,6.543711,6.527068,0.016644,0.029351,-0.025415,2025-06-29 17:12:41
2025-03-11,518890,6.543057,6.524701,0.018356,0.032528,-0.028343,2025-06-29 17:12:41
2025-03-10,518890,6.545645,6.523539,0.022106,0.036071,-0.027929,2025-06-29 17:12:41
2025-03-07,518890,6.539544,6.518106,0.021438,0.039562,-0.036248,2025-06-29 17:12:41
2025-03-06,518890,6.537699,6.514619,0.02308,0.044093,-0.042026,2025-06-29 17:12:41
2025-03-05,518890,6.533327,6.509822,0.023506,0.049346,-0.051681,2025-06-29 17:12:41
2025-03-04,518890,6.523707,6.502675,0.021032,0.055806,-0.069548,2025-06-29 17:12:41
2025-03-03,518890,6.526194,6.501134,0.02506,0.0645,-0.078879,2025-06-29 17:12:41
2025-02-28,518890,6.540821,6.504401,0.036421,0.07436,-0.075878,2025-06-29 17:12:41
2025-02-27,518890,6.562199,6.509201,0.052998,0.083844,-0.061692,2025-06-29 17:12:41
2025-02-26,518890,6.575399,6.508351,0.067048,0.091556,-0.049016,2025-06-29 17:12:41
2025-02-25,518890,6.58637,6.50477,0.0816,0.097683,-0.032166,2025-06-29 17:12:41
2025-02-24,518890,6.581332,6.492366,0.088966,0.101704,-0.025475,2025-06-29 17:12:41
2025-02-21,518890,6.575141,6.478537,0.096605,0.104888,-0.016566,2025-06-29 17:12:41
2025-02-20,518890,6.570325,6.464354,0.105971,0.106959,-0.001976,2025-06-29 17:12:41
2025-02-19,518890,6.54956,6.442023,0.107537,0.107206,0.000663,2025-06-29 17:12:41
2025-02-18,518890,6.528578,6.419401,0.109177,0.107123,0.004108,2025-06-29 17:12:41
2025-02-17,518890,6.515028,6.399826,0.115202,0.106609,0.017186,2025-06-29 17:12:41
2025-02-14,518890,6.512465,6.384304,0.128161,0.104461,0.047399,2025-06-29 17:12:41
2025-02-13,518890,6.479741,6.353967,0.125773,0.098536,0.054475,2025-06-29 17:12:41
2025-02-12,518890,6.446809,6.323838,0.122971,0.091727,0.062489,2025-06-29 17:12:41
2025-02-11,518890,6.419326,6.296443,0.122884,0.083916,0.077936,2025-06-29 17:12:41
2025-02-10,518890,6.366848,6.258123,0.108725,0.074174,0.069102,2025-06-29 17:12:41
2025-02-07,518890,6.317662,6.223014,0.094648,0.065536,0.058225,2025-06-29 17:12:41
2025-02-06,518890,6.28328,6.19614,0.087139,0.058258,0.057763,2025-06-29 17:12:41
2025-02-05,518890,6.243074,6.167658,0.075416,0.051038,0.048757,2025-06-29 17:12:41
2025-01-27,518890,6.182809,6.131865,0.050944,0.044943,0.012003,2025-06-29 17:12:41
2025-01-24,518890,6.17304,6.121223,0.051817,0.043443,0.016749,2025-06-29 17:12:41
2025-01-23,518890,6.156195,6.107376,0.048819,0.041349,0.01494,2025-06-29 17:12:41
2025-01-22,518890,6.141393,6.094798,0.046595,0.039482,0.014228,2025-06-29 17:12:41
2025-01-21,518890,6.12322,6.081023,0.042197,0.037703,0.008988,2025-06-29 17:12:41
2025-01-20,518890,6.116711,6.072901,0.043811,0.03658,0.014463,2025-06-29 17:12:41
2025-01-17,518890,6.108343,6.063763,0.04458,0.034772,0.019617,2025-06-29 17:12:41
2025-01-16,518890,6.095013,6.052359,0.042654,0.03232,0.020669,2025-06-29 17:12:41
2025-01-15,518890,6.082159,6.041403,0.040756,0.029736,0.02204,2025-06-29 17:12:41
2025-01-14,518890,6.071633,6.031704,0.03993,0.026981,0.025897,2025-06-29 17:12:41
2025-01-13,518890,6.066386,6.024417,0.041969,0.023744,0.03645,2025-06-29 17:12:41
2025-01-10,518890,6.045639,6.010094,0.035545,0.019188,0.032715,2025-06-29 17:12:41
2025-01-09,518890,6.024393,5.996356,0.028037,0.015098,0.025878,2025-06-29 17:12:41
2025-01-08,518890,6.006505,5.985025,0.02148,0.011864,0.019233,2025-06-29 17:12:41
2025-01-07,518890,5.994078,5.976903,0.017175,0.009459,0.01543,2025-06-29 17:12:41
2025-01-06,518890,5.987243,5.971766,0.015477,0.007531,0.015892,2025-06-29 17:12:41
2025-01-03,518890,5.979884,5.966612,0.013272,0.005544,0.015456,2025-06-29 17:12:41
2025-01-02,518890,5.960708,5.956563,0.004144,0.003612,0.001064,2025-06-29 17:12:41
2024-12-31,518890,5.952338,5.952384,-4.5e-05,0.003479,-0.007049,2025-06-29 17:12:41
2024-12-30,518890,5.955006,5.953557,0.00145,0.00436,-0.005821,2025-06-29 17:12:41
2024-12-27,518890,5.957008,5.954251,0.002757,0.005088,-0.004662,2025-06-29 17:12:41
2024-12-26,518890,5.955582,5.953283,0.002299,0.005671,-0.006742,2025-06-29 17:12:41
2024-12-25,518890,5.952891,5.951818,0.001073,0.006513,-0.01088,2025-06-29 17:12:41
2024-12-24,518890,5.950289,5.950545,-0.000257,0.007873,-0.01626,2025-06-29 17:12:41
2024-12-23,518890,5.952657,5.951613,0.001043,0.009906,-0.017725,2025-06-29 17:12:41
