date,code,ema_fast,ema_slow,dif,dea,macd_bar,calc_time
2025-06-27,513690,0.985571,0.97048,0.015091,0.015904,-0.001626,2025-06-29 17:12:28
2025-06-26,513690,0.98524,0.969127,0.016113,0.016107,1.2e-05,2025-06-29 17:12:28
2025-06-25,513690,0.983262,0.966968,0.016295,0.016106,0.000378,2025-06-29 17:12:28
2025-06-24,513690,0.979514,0.964015,0.015499,0.016059,-0.001119,2025-06-29 17:12:28
2025-06-23,513690,0.976494,0.961446,0.015048,0.016199,-0.002301,2025-06-29 17:12:28
2025-06-20,513690,0.974866,0.959526,0.01534,0.016486,-0.002293,2025-06-29 17:12:28
2025-06-19,513690,0.975057,0.958383,0.016675,0.016773,-0.000197,2025-06-29 17:12:28
2025-06-18,513690,0.975989,0.957459,0.01853,0.016797,0.003466,2025-06-29 17:12:28
2025-06-17,513690,0.974445,0.955297,0.019148,0.016364,0.005568,2025-06-29 17:12:28
2025-06-16,513690,0.970681,0.952109,0.018572,0.015668,0.005807,2025-06-29 17:12:28
2025-06-13,513690,0.966232,0.948666,0.017566,0.014942,0.005248,2025-06-29 17:12:28
2025-06-12,513690,0.961679,0.945257,0.016422,0.014286,0.004271,2025-06-29 17:12:28
2025-06-11,513690,0.957357,0.942042,0.015315,0.013753,0.003126,2025-06-29 17:12:28
2025-06-10,513690,0.952425,0.938646,0.013779,0.013362,0.000834,2025-06-29 17:12:28
2025-06-09,513690,0.949595,0.936299,0.013296,0.013257,7.7e-05,2025-06-29 17:12:28
2025-06-06,513690,0.948014,0.934539,0.013474,0.013248,0.000453,2025-06-29 17:12:28
2025-06-05,513690,0.946497,0.932794,0.013703,0.013191,0.001024,2025-06-29 17:12:28
2025-06-04,513690,0.945058,0.931065,0.013993,0.013063,0.001861,2025-06-29 17:12:28
2025-06-03,513690,0.942475,0.928809,0.013667,0.012831,0.001672,2025-06-29 17:12:28
2025-05-30,513690,0.939952,0.926605,0.013347,0.012622,0.001451,2025-06-29 17:12:28
2025-05-29,513690,0.938205,0.924769,0.013436,0.01244,0.001992,2025-06-29 17:12:28
2025-05-28,513690,0.936139,0.922785,0.013354,0.012191,0.002326,2025-06-29 17:12:28
2025-05-27,513690,0.934051,0.920798,0.013253,0.011901,0.002706,2025-06-29 17:12:28
2025-05-26,513690,0.932642,0.919117,0.013524,0.011562,0.003924,2025-06-29 17:12:28
2025-05-23,513690,0.931328,0.917458,0.013871,0.011072,0.005598,2025-06-29 17:12:28
2025-05-22,513690,0.929424,0.91551,0.013914,0.010372,0.007084,2025-06-29 17:12:28
2025-05-21,513690,0.92682,0.913251,0.013569,0.009487,0.008165,2025-06-29 17:12:28
2025-05-20,513690,0.923038,0.910501,0.012536,0.008466,0.00814,2025-06-29 17:12:28
2025-05-19,513690,0.919097,0.907764,0.011332,0.007449,0.007767,2025-06-29 17:12:28
2025-05-16,513690,0.916202,0.905584,0.010618,0.006478,0.008281,2025-06-29 17:12:28
2025-05-15,513690,0.91384,0.903695,0.010145,0.005443,0.009404,2025-06-29 17:12:28
2025-05-14,513690,0.910167,0.901267,0.008899,0.004267,0.009264,2025-06-29 17:12:28
2025-05-13,513690,0.905472,0.89849,0.006982,0.003109,0.007746,2025-06-29 17:12:28
2025-05-12,513690,0.90257,0.896655,0.005915,0.002141,0.007549,2025-06-29 17:12:28
2025-05-09,513690,0.899493,0.894827,0.004665,0.001197,0.006937,2025-06-29 17:12:28
2025-05-08,513690,0.896737,0.893242,0.003496,0.00033,0.006331,2025-06-29 17:12:28
2025-05-07,513690,0.894892,0.89215,0.002742,-0.000461,0.006407,2025-06-29 17:12:28
2025-05-06,513690,0.892359,0.890816,0.001543,-0.001262,0.00561,2025-06-29 17:12:28
2025-04-30,513690,0.890423,0.889841,0.000582,-0.001963,0.005091,2025-06-29 17:12:28
2025-04-29,513690,0.889722,0.889486,0.000236,-0.0026,0.005671,2025-06-29 17:12:28
2025-04-28,513690,0.888541,0.888947,-0.000407,-0.003309,0.005804,2025-06-29 17:12:28
2025-04-25,513690,0.886263,0.887978,-0.001715,-0.004034,0.004639,2025-06-29 17:12:28
2025-04-24,513690,0.88463,0.887396,-0.002766,-0.004614,0.003695,2025-06-29 17:12:28
2025-04-23,513690,0.883934,0.887311,-0.003378,-0.005076,0.003397,2025-06-29 17:12:28
2025-04-22,513690,0.882229,0.886832,-0.004602,-0.005501,0.001797,2025-06-29 17:12:28
2025-04-21,513690,0.880921,0.886624,-0.005703,-0.005725,4.4e-05,2025-06-29 17:12:28
2025-04-18,513690,0.880608,0.886943,-0.006334,-0.005731,-0.001207,2025-06-29 17:12:28
2025-04-17,513690,0.880239,0.887287,-0.007048,-0.00558,-0.002936,2025-06-29 17:12:28
2025-04-16,513690,0.879979,0.887737,-0.007757,-0.005213,-0.005088,2025-06-29 17:12:28
2025-04-15,513690,0.880201,0.888455,-0.008253,-0.004577,-0.007353,2025-06-29 17:12:28
2025-04-14,513690,0.879582,0.888843,-0.009261,-0.003658,-0.011205,2025-06-29 17:12:28
2025-04-11,513690,0.879203,0.889417,-0.010214,-0.002257,-0.015913,2025-06-29 17:12:28
2025-04-10,513690,0.881752,0.891355,-0.009603,-0.000268,-0.01867,2025-06-29 17:12:28
2025-04-09,513690,0.885295,0.893682,-0.008388,0.002066,-0.020906,2025-06-29 17:12:28
2025-04-08,513690,0.892303,0.897437,-0.005134,0.004679,-0.019626,2025-06-29 17:12:28
2025-04-07,513690,0.901643,0.901957,-0.000314,0.007132,-0.014893,2025-06-29 17:12:28
2025-04-03,513690,0.913034,0.906995,0.00604,0.008994,-0.005908,2025-06-29 17:12:28
2025-04-02,513690,0.912918,0.90646,0.006458,0.009732,-0.00655,2025-06-29 17:12:28
2025-04-01,513690,0.91278,0.905883,0.006897,0.010551,-0.007308,2025-06-29 17:12:28
2025-03-31,513690,0.91244,0.905182,0.007259,0.011465,-0.008412,2025-06-29 17:12:28
2025-03-28,513690,0.914508,0.905511,0.008997,0.012516,-0.007037,2025-06-29 17:12:28
2025-03-27,513690,0.916071,0.905479,0.010592,0.013396,-0.005607,2025-06-29 17:12:28
2025-03-26,513690,0.915977,0.90459,0.011387,0.014097,-0.005419,2025-06-29 17:12:28
2025-03-25,513690,0.916572,0.903941,0.012631,0.014774,-0.004286,2025-06-29 17:12:28
2025-03-24,513690,0.917098,0.903162,0.013936,0.01531,-0.002747,2025-06-29 17:12:28
2025-03-21,513690,0.917897,0.902398,0.015498,0.015653,-0.00031,2025-06-29 17:12:28
2025-03-20,513690,0.919017,0.901651,0.017365,0.015692,0.003347,2025-06-29 17:12:28
2025-03-19,513690,0.917695,0.899681,0.018015,0.015274,0.005482,2025-06-29 17:12:28
2025-03-18,513690,0.91437,0.896776,0.017593,0.014588,0.00601,2025-06-29 17:12:28
2025-03-17,513690,0.909734,0.893329,0.016405,0.013837,0.005136,2025-06-29 17:12:28
2025-03-14,513690,0.905491,0.89015,0.015341,0.013195,0.004292,2025-06-29 17:12:28
2025-03-13,513690,0.901886,0.887336,0.01455,0.012658,0.003783,2025-06-29 17:12:28
2025-03-12,513690,0.899743,0.885229,0.014513,0.012186,0.004656,2025-06-29 17:12:28
2025-03-11,513690,0.896857,0.882798,0.014058,0.011604,0.004909,2025-06-29 17:12:28
2025-03-10,513690,0.893975,0.880406,0.013569,0.01099,0.005158,2025-06-29 17:12:28
2025-03-07,513690,0.890922,0.877977,0.012945,0.010345,0.0052,2025-06-29 17:12:28
2025-03-06,513690,0.88749,0.875431,0.012059,0.009695,0.004727,2025-06-29 17:12:28
2025-03-05,513690,0.883611,0.87276,0.010851,0.009104,0.003494,2025-06-29 17:12:28
2025-03-04,513690,0.88079,0.87065,0.010139,0.008668,0.002944,2025-06-29 17:12:28
2025-03-03,513690,0.879572,0.869303,0.010269,0.0083,0.003938,2025-06-29 17:12:28
2025-02-28,513690,0.878662,0.868081,0.01058,0.007807,0.005546,2025-06-29 17:12:28
2025-02-27,513690,0.877939,0.866917,0.011022,0.007114,0.007815,2025-06-29 17:12:28
2025-02-26,513690,0.873557,0.864107,0.00945,0.006137,0.006626,2025-06-29 17:12:28
