日期,ETF代码,EMA快线,EMA慢线,DIF,DEA,MACD柱,DIF高于DEA,DIF高于零轴,DEA高于零轴,DIF_DEA差值,DIF强度,MACD强度,计算时间
2024-04-30,562570,1.001,1.001,0.0,0.0,0.0,否,否,否,0.0,0.0,0.0,2025-06-29 16:58:58
2024-05-06,562570,1.0022,1.0016,0.0006,0.00012,0.00096,是,是,是,0.00048,0.0006,0.00096,2025-06-29 16:58:58
2024-05-07,562570,1.00288,1.00197,0.00091,0.000278,0.001264,是,是,是,0.000632,0.00091,0.001264,2025-06-29 16:58:58
2024-05-08,562570,1.001292,1.001221,7.1e-05,0.000237,-0.000332,否,是,是,-0.000166,7.1e-05,0.000332,2025-06-29 16:58:58
2024-05-09,562570,1.000263,1.00071,-0.000448,0.0001,-0.001095,否,否,是,-0.000548,0.000448,0.001095,2025-06-29 16:58:58
2024-05-10,562570,0.998637,0.999875,-0.001238,-0.000168,-0.002141,否,否,否,-0.00107,0.001238,0.002141,2025-06-29 16:58:58
2024-05-13,562570,0.995973,0.998481,-0.002508,-0.000636,-0.003745,否,否,否,-0.001872,0.002508,0.003745,2025-06-29 16:58:58
2024-05-14,562570,0.993376,0.997057,-0.003682,-0.001245,-0.004873,否,否,否,-0.002437,0.003682,0.004873,2025-06-29 16:58:58
2024-05-15,562570,0.989638,0.995004,-0.005366,-0.002069,-0.006594,否,否,否,-0.003297,0.005366,0.006594,2025-06-29 16:58:58
2024-05-16,562570,0.987274,0.993554,-0.00628,-0.002911,-0.006737,否,否,否,-0.003369,0.00628,0.006737,2025-06-29 16:58:58
2024-05-17,562570,0.986147,0.992676,-0.00653,-0.003635,-0.005789,否,否,否,-0.002895,0.00653,0.005789,2025-06-29 16:58:58
2024-05-20,562570,0.986132,0.992343,-0.00621,-0.00415,-0.004121,否,否,否,-0.00206,0.00621,0.004121,2025-06-29 16:58:58
2024-05-21,562570,0.986819,0.992375,-0.005556,-0.004431,-0.00225,否,否,否,-0.001125,0.005556,0.00225,2025-06-29 16:58:58
2024-05-22,562570,0.986437,0.991907,-0.00547,-0.004639,-0.001661,否,否,否,-0.000831,0.00547,0.001661,2025-06-29 16:58:58
2024-05-23,562570,0.983493,0.990161,-0.006668,-0.005045,-0.003246,否,否,否,-0.001623,0.006668,0.003246,2025-06-29 16:58:58
2024-05-24,562570,0.979044,0.987603,-0.008559,-0.005748,-0.005623,否,否,否,-0.002811,0.008559,0.005623,2025-06-29 16:58:58
2024-05-27,562570,0.97544,0.985373,-0.009933,-0.006585,-0.006697,否,否,否,-0.003348,0.009933,0.006697,2025-06-29 16:58:58
2024-05-28,562570,0.970796,0.982554,-0.011759,-0.00762,-0.008278,否,否,否,-0.004139,0.011759,0.008278,2025-06-29 16:58:58
2024-05-29,562570,0.966216,0.979677,-0.013461,-0.008788,-0.009346,否,否,否,-0.004673,0.013461,0.009346,2025-06-29 16:58:58
2024-05-30,562570,0.962194,0.976993,-0.014798,-0.00999,-0.009617,否,否,否,-0.004808,0.014798,0.009617,2025-06-29 16:58:58
2024-05-31,562570,0.959375,0.974843,-0.015468,-0.011086,-0.008765,否,否,否,-0.004382,0.015468,0.008765,2025-06-29 16:58:58
2024-06-03,562570,0.955338,0.972051,-0.016714,-0.012211,-0.009005,否,否,否,-0.004503,0.016714,0.009005,2025-06-29 16:58:58
2024-06-04,562570,0.952204,0.969648,-0.017445,-0.013258,-0.008374,否,否,否,-0.004187,0.017445,0.008374,2025-06-29 16:58:58
2024-06-05,562570,0.949383,0.967366,-0.017983,-0.014203,-0.00756,否,否,否,-0.00378,0.017983,0.00756,2025-06-29 16:58:58
2024-06-06,562570,0.944745,0.964148,-0.019403,-0.015243,-0.00832,否,否,否,-0.00416,0.019403,0.00832,2025-06-29 16:58:58
2024-06-07,562570,0.940071,0.96084,-0.02077,-0.016348,-0.008843,否,否,否,-0.004422,0.02077,0.008843,2025-06-29 16:58:58
2024-06-11,562570,0.937663,0.958598,-0.020935,-0.017266,-0.007339,否,否,否,-0.003669,0.020935,0.007339,2025-06-29 16:58:58
2024-06-12,562570,0.936097,0.956768,-0.020671,-0.017947,-0.005449,否,否,否,-0.002724,0.020671,0.005449,2025-06-29 16:58:58
2024-06-13,562570,0.934687,0.95503,-0.020343,-0.018426,-0.003833,否,否,否,-0.001917,0.020343,0.003833,2025-06-29 16:58:58
2024-06-14,562570,0.934019,0.953679,-0.01966,-0.018673,-0.001974,否,否,否,-0.000987,0.01966,0.001974,2025-06-29 16:58:58
2024-06-17,562570,0.933117,0.952245,-0.019128,-0.018764,-0.000728,否,否,否,-0.000364,0.019128,0.000728,2025-06-29 16:58:58
2024-06-18,562570,0.933305,0.951382,-0.018077,-0.018626,0.001098,是,否,否,0.000549,0.018077,0.001098,2025-06-29 16:58:58
2024-06-19,562570,0.933475,0.950563,-0.017089,-0.018319,0.00246,是,否,否,0.00123,0.017089,0.00246,2025-06-29 16:58:58
2024-06-20,562570,0.931927,0.948935,-0.017008,-0.018057,0.002097,是,否,否,0.001049,0.017008,0.002097,2025-06-29 16:58:58
2024-06-21,562570,0.930034,0.947138,-0.017104,-0.017866,0.001524,是,否,否,0.000762,0.017104,0.001524,2025-06-29 16:58:58
2024-06-24,562570,0.929131,0.945831,-0.0167,-0.017633,0.001865,是,否,否,0.000933,0.0167,0.001865,2025-06-29 16:58:58
2024-06-25,562570,0.922418,0.94164,-0.019222,-0.017951,-0.002542,否,否,否,-0.001271,0.019222,0.002542,2025-06-29 16:58:58
2024-06-26,562570,0.920276,0.939608,-0.019332,-0.018227,-0.00221,否,否,否,-0.001105,0.019332,0.00221,2025-06-29 16:58:58
2024-06-27,562570,0.917148,0.937077,-0.019929,-0.018567,-0.002723,否,否,否,-0.001362,0.019929,0.002723,2025-06-29 16:58:58
2024-06-28,562570,0.913534,0.934274,-0.02074,-0.019002,-0.003476,否,否,否,-0.001738,0.02074,0.003476,2025-06-29 16:58:58
2024-07-01,562570,0.90968,0.93131,-0.02163,-0.019527,-0.004204,否,否,否,-0.002103,0.02163,0.004204,2025-06-29 16:58:58
2024-07-02,562570,0.906612,0.928694,-0.022082,-0.020038,-0.004088,否,否,否,-0.002044,0.022082,0.004088,2025-06-29 16:58:58
2024-07-03,562570,0.902551,0.92556,-0.023009,-0.020632,-0.004752,否,否,否,-0.002377,0.023009,0.004752,2025-06-29 16:58:58
2024-07-04,562570,0.897396,0.921832,-0.024436,-0.021393,-0.006085,否,否,否,-0.003043,0.024436,0.006085,2025-06-29 16:58:58
2024-07-05,562570,0.892756,0.91829,-0.025534,-0.022221,-0.006625,否,否,否,-0.003313,0.025534,0.006625,2025-06-29 16:58:58
2024-07-08,562570,0.885681,0.913476,-0.027795,-0.023336,-0.008918,否,否,否,-0.004459,0.027795,0.008918,2025-06-29 16:58:58
2024-07-09,562570,0.881113,0.909802,-0.028689,-0.024407,-0.008565,否,否,否,-0.004282,0.028689,0.008565,2025-06-29 16:58:58
2024-07-10,562570,0.877001,0.906312,-0.02931,-0.025387,-0.007846,否,否,否,-0.003923,0.02931,0.007846,2025-06-29 16:58:58
2024-07-11,562570,0.875101,0.903896,-0.028795,-0.026069,-0.005452,否,否,否,-0.002726,0.028795,0.005452,2025-06-29 16:58:58
2024-07-12,562570,0.872491,0.901151,-0.02866,-0.026587,-0.004146,否,否,否,-0.002073,0.02866,0.004146,2025-06-29 16:58:58
2024-07-15,562570,0.868842,0.897894,-0.029052,-0.02708,-0.003943,否,否,否,-0.001972,0.029052,0.003943,2025-06-29 16:58:58
2024-07-16,562570,0.867558,0.895799,-0.028241,-0.027312,-0.001858,否,否,否,-0.000929,0.028241,0.001858,2025-06-29 16:58:58
2024-07-17,562570,0.865902,0.893559,-0.027657,-0.027381,-0.000552,否,否,否,-0.000276,0.027657,0.000552,2025-06-29 16:58:58
2024-07-18,562570,0.864212,0.891331,-0.027119,-0.027329,0.000419,是,否,否,0.00021,0.027119,0.000419,2025-06-29 16:58:58
2024-07-19,562570,0.864391,0.890065,-0.025674,-0.026998,0.002648,是,否,否,0.001324,0.025674,0.002648,2025-06-29 16:58:58
2024-07-22,562570,0.866352,0.889761,-0.02341,-0.02628,0.005741,是,否,否,0.00287,0.02341,0.005741,2025-06-29 16:58:58
2024-07-23,562570,0.865516,0.888173,-0.022657,-0.025556,0.005797,是,否,否,0.002899,0.022657,0.005797,2025-06-29 16:58:58
2024-07-24,562570,0.863165,0.885865,-0.0227,-0.024984,0.004569,是,否,否,0.002284,0.0227,0.004569,2025-06-29 16:58:58
2024-07-25,562570,0.861148,0.883721,-0.022573,-0.024502,0.003858,是,否,否,0.001929,0.022573,0.003858,2025-06-29 16:58:58
2024-07-26,562570,0.859433,0.881735,-0.022302,-0.024062,0.003521,是,否,否,0.00176,0.022302,0.003521,2025-06-29 16:58:58
2024-07-29,562570,0.85749,0.879649,-0.022158,-0.023681,0.003046,是,否,否,0.001523,0.022158,0.003046,2025-06-29 16:58:58
2024-07-30,562570,0.856141,0.877866,-0.021725,-0.02329,0.00313,是,否,否,0.001565,0.021725,0.00313,2025-06-29 16:58:58
2024-07-31,562570,0.858427,0.877923,-0.019496,-0.022531,0.006071,是,否,否,0.003035,0.019496,0.006071,2025-06-29 16:58:58
2024-08-01,562570,0.860384,0.877927,-0.017542,-0.021534,0.007982,是,否,否,0.003992,0.017542,0.007982,2025-06-29 16:58:58
2024-08-02,562570,0.860646,0.87718,-0.016535,-0.020534,0.007998,是,否,否,0.003999,0.016535,0.007998,2025-06-29 16:58:58
2024-08-05,562570,0.857781,0.874921,-0.01714,-0.019855,0.00543,是,否,否,0.002715,0.01714,0.00543,2025-06-29 16:58:58
2024-08-06,562570,0.856303,0.873325,-0.017022,-0.019288,0.004533,是,否,否,0.002266,0.017022,0.004533,2025-06-29 16:58:58
2024-08-07,562570,0.855073,0.871859,-0.016786,-0.018788,0.004004,是,否,否,0.002002,0.016786,0.004004,2025-06-29 16:58:58
2024-08-08,562570,0.852866,0.869916,-0.017051,-0.01844,0.00278,是,否,否,0.001389,0.017051,0.00278,2025-06-29 16:58:58
2024-08-09,562570,0.849779,0.86752,-0.017741,-0.018301,0.001119,是,否,否,0.00056,0.017741,0.001119,2025-06-29 16:58:58
2024-08-12,562570,0.845901,0.864694,-0.018793,-0.018399,-0.000788,否,否,否,-0.000394,0.018793,0.000788,2025-06-29 16:58:58
2024-08-13,562570,0.843111,0.86236,-0.019249,-0.018569,-0.001359,否,否,否,-0.00068,0.019249,0.001359,2025-06-29 16:58:58
2024-08-14,562570,0.8404,0.860042,-0.019642,-0.018784,-0.001716,否,否,否,-0.000858,0.019642,0.001716,2025-06-29 16:58:58
2024-08-15,562570,0.83806,0.857889,-0.01983,-0.018993,-0.001674,否,否,否,-0.000837,0.01983,0.001674,2025-06-29 16:58:58
2024-08-16,562570,0.835454,0.855595,-0.020141,-0.019222,-0.001837,否,否,否,-0.000919,0.020141,0.001837,2025-06-29 16:58:58
2024-08-19,562570,0.833709,0.853715,-0.020007,-0.019379,-0.001255,否,否,否,-0.000628,0.020007,0.001255,2025-06-29 16:58:58
2024-08-20,562570,0.830338,0.851029,-0.020692,-0.019642,-0.0021,否,否,否,-0.00105,0.020692,0.0021,2025-06-29 16:58:58
2024-08-21,562570,0.827204,0.848428,-0.021224,-0.019958,-0.002532,否,否,否,-0.001266,0.021224,0.002532,2025-06-29 16:58:58
2024-08-22,562570,0.822284,0.844907,-0.022623,-0.020491,-0.004264,否,否,否,-0.002132,0.022623,0.004264,2025-06-29 16:58:58
2024-08-23,562570,0.818655,0.841961,-0.023306,-0.021054,-0.004504,否,否,否,-0.002252,0.023306,0.004504,2025-06-29 16:58:58
2024-08-26,562570,0.81519,0.839063,-0.023874,-0.021618,-0.004511,否,否,否,-0.002256,0.023874,0.004511,2025-06-29 16:58:58
2024-08-27,562570,0.810271,0.83541,-0.025139,-0.022322,-0.005634,否,否,否,-0.002817,0.025139,0.005634,2025-06-29 16:58:58
2024-08-28,562570,0.806344,0.83219,-0.025846,-0.023027,-0.005638,否,否,否,-0.002819,0.025846,0.005638,2025-06-29 16:58:58
2024-08-29,562570,0.803809,0.82963,-0.025821,-0.023586,-0.00447,否,否,否,-0.002235,0.025821,0.00447,2025-06-29 16:58:58
2024-08-30,562570,0.803928,0.828399,-0.02447,-0.023763,-0.001415,否,否,否,-0.000707,0.02447,0.001415,2025-06-29 16:58:58
2024-09-02,562570,0.801635,0.826029,-0.024393,-0.023889,-0.001009,否,否,否,-0.000504,0.024393,0.001009,2025-06-29 16:58:58
2024-09-03,562570,0.800372,0.824177,-0.023805,-0.023872,0.000134,是,否,否,6.7e-05,0.023805,0.000134,2025-06-29 16:58:58
2024-09-04,562570,0.799035,0.822318,-0.023284,-0.023754,0.000942,是,否,否,0.00047,0.023284,0.000942,2025-06-29 16:58:58
2024-09-05,562570,0.798531,0.820902,-0.022371,-0.023478,0.002213,是,否,否,0.001107,0.022371,0.002213,2025-06-29 16:58:58
2024-09-06,562570,0.796578,0.818807,-0.022229,-0.023228,0.001998,是,否,否,0.000999,0.022229,0.001998,2025-06-29 16:58:58
2024-09-09,562570,0.79422,0.816517,-0.022297,-0.023042,0.00149,是,否,否,0.000745,0.022297,0.00149,2025-06-29 16:58:58
2024-09-10,562570,0.793898,0.815241,-0.021343,-0.022702,0.002718,是,否,否,0.001359,0.021343,0.002718,2025-06-29 16:58:58
2024-09-11,562570,0.794108,0.814279,-0.020171,-0.022196,0.00405,是,否,否,0.002025,0.020171,0.00405,2025-06-29 16:58:58
2024-09-12,562570,0.793798,0.813115,-0.019317,-0.02162,0.004605,是,否,否,0.002303,0.019317,0.004605,2025-06-29 16:58:58
2024-09-13,562570,0.792918,0.811709,-0.018791,-0.021054,0.004526,是,否,否,0.002263,0.018791,0.004526,2025-06-29 16:58:58
2024-09-18,562570,0.791126,0.809874,-0.018748,-0.020593,0.00369,是,否,否,0.001845,0.018748,0.00369,2025-06-29 16:58:58
2024-09-19,562570,0.791413,0.80908,-0.017667,-0.020008,0.004682,是,否,否,0.002341,0.017667,0.004682,2025-06-29 16:58:58
2024-09-20,562570,0.792472,0.808726,-0.016254,-0.019257,0.006006,是,否,否,0.003003,0.016254,0.006006,2025-06-29 16:58:58
