日期,ETF代码,EMA快线,EMA慢线,DIF,DEA,MACD柱,DIF高于DEA,DIF高于零轴,DEA高于零轴,DIF_DEA差值,DIF强度,MACD强度,计算时间
2025-01-21,512080,1.003,1.003,0.0,0.0,0.0,否,否,否,0.0,0.0,0.0,2025-06-29 16:58:39
2025-01-22,512080,1.001222,1.002111,-0.000889,-0.000178,-0.001422,否,否,否,-0.000711,0.000889,0.001422,2025-06-29 16:58:39
2025-01-23,512080,1.000284,1.001543,-0.001259,-0.000394,-0.00173,否,否,否,-0.000865,0.001259,0.00173,2025-06-29 16:58:39
2025-01-24,512080,1.00111,1.001816,-0.000706,-0.000457,-0.0005,否,否,否,-0.000249,0.000706,0.0005,2025-06-29 16:58:39
2025-01-27,512080,0.999752,1.001059,-0.001307,-0.000627,-0.00136,否,否,否,-0.00068,0.001307,0.00136,2025-06-29 16:58:39
2025-02-05,512080,0.998696,1.000386,-0.00169,-0.000839,-0.001701,否,否,否,-0.000851,0.00169,0.001701,2025-06-29 16:58:39
2025-02-06,512080,1.000986,1.001343,-0.000357,-0.000743,0.000772,是,否,否,0.000386,0.000357,0.000772,2025-06-29 16:58:39
2025-02-07,512080,1.006322,1.003971,0.002351,-0.000124,0.00495,是,是,否,0.002475,0.002351,0.00495,2025-06-29 16:58:39
2025-02-10,512080,1.01114,1.006641,0.004498,0.0008,0.007396,是,是,是,0.003698,0.004498,0.007396,2025-06-29 16:58:39
2025-02-11,512080,1.01422,1.008681,0.005539,0.001748,0.007581,是,是,是,0.003791,0.005539,0.007581,2025-06-29 16:58:39
2025-02-12,512080,1.018838,1.011605,0.007232,0.002845,0.008774,是,是,是,0.004387,0.007232,0.008774,2025-06-29 16:58:39
2025-02-13,512080,1.021763,1.013871,0.007891,0.003854,0.008074,是,是,是,0.004037,0.007891,0.008074,2025-06-29 16:58:39
2025-02-14,512080,1.025815,1.016775,0.009041,0.004891,0.008298,是,是,是,0.00415,0.009041,0.008298,2025-06-29 16:58:39
2025-02-17,512080,1.02919,1.019466,0.009723,0.005858,0.007731,是,是,是,0.003865,0.009723,0.007731,2025-06-29 16:58:39
2025-02-18,512080,1.029592,1.020748,0.008844,0.006455,0.004778,是,是,是,0.002389,0.008844,0.004778,2025-06-29 16:58:39
2025-02-19,512080,1.031683,1.022776,0.008907,0.006945,0.003923,是,是,是,0.001962,0.008907,0.003923,2025-06-29 16:58:39
2025-02-20,512080,1.033309,1.024579,0.00873,0.007302,0.002856,是,是,是,0.001428,0.00873,0.002856,2025-06-29 16:58:39
2025-02-21,512080,1.037907,1.027848,0.010059,0.007854,0.004411,是,是,是,0.002205,0.010059,0.004411,2025-06-29 16:58:39
2025-02-24,512080,1.041039,1.030531,0.010507,0.008384,0.004246,是,是,是,0.002123,0.010507,0.004246,2025-06-29 16:58:39
2025-02-25,512080,1.04103,1.031694,0.009336,0.008575,0.001522,是,是,是,0.000761,0.009336,0.001522,2025-06-29 16:58:39
