日期,ETF代码,EMA快线,EMA慢线,DIF,DEA,MACD柱,DIF高于DEA,DIF高于零轴,DEA高于零轴,DIF_DEA差值,DIF强度,MACD强度,计算时间
2019-12-24,159980,1.016,1.016,0.0,0.0,0.0,否,否,否,0.0,0.0,0.0,2025-06-29 16:58:21
2019-12-25,159980,1.016154,1.016074,8e-05,1.6e-05,0.000128,是,是,是,6.4e-05,8e-05,0.000128,2025-06-29 16:58:21
2019-12-26,159980,1.015822,1.01592,-9.8e-05,-7e-06,-0.000182,否,否,否,-9.1e-05,9.8e-05,0.000182,2025-06-29 16:58:21
2019-12-27,159980,1.01585,1.015926,-7.7e-05,-2.1e-05,-0.000112,否,否,否,-5.6e-05,7.7e-05,0.000112,2025-06-29 16:58:21
2019-12-30,159980,1.015565,1.015784,-0.000218,-6e-05,-0.000316,否,否,否,-0.000158,0.000218,0.000316,2025-06-29 16:58:21
2019-12-31,159980,1.015017,1.015503,-0.000487,-0.000146,-0.000682,否,否,否,-0.000341,0.000487,0.000682,2025-06-29 16:58:21
2020-01-02,159980,1.014091,1.015022,-0.000931,-0.000303,-0.001256,否,否,否,-0.000628,0.000931,0.001256,2025-06-29 16:58:21
2020-01-03,159980,1.012077,1.013983,-0.001906,-0.000623,-0.002565,否,否,否,-0.001283,0.001906,0.002565,2025-06-29 16:58:21
2020-01-06,159980,1.010373,1.013021,-0.002648,-0.001028,-0.00324,否,否,否,-0.00162,0.002648,0.00324,2025-06-29 16:58:21
2020-01-07,159980,1.009546,1.012427,-0.002881,-0.001399,-0.002964,否,否,否,-0.001482,0.002881,0.002964,2025-06-29 16:58:21
2020-01-08,159980,1.009001,1.011951,-0.00295,-0.001709,-0.002482,否,否,否,-0.001241,0.00295,0.002482,2025-06-29 16:58:21
2020-01-09,159980,1.009308,1.011881,-0.002572,-0.001882,-0.001381,否,否,否,-0.00069,0.002572,0.001381,2025-06-29 16:58:21
2020-01-10,159980,1.009876,1.011964,-0.002087,-0.001923,-0.000329,否,否,否,-0.000164,0.002087,0.000329,2025-06-29 16:58:21
2020-01-13,159980,1.010203,1.011966,-0.001763,-0.001891,0.000255,是,否,否,0.000128,0.001763,0.000255,2025-06-29 16:58:21
2020-01-14,159980,1.010018,1.011746,-0.001729,-0.001858,0.00026,是,否,否,0.000129,0.001729,0.00026,2025-06-29 16:58:21
2020-01-15,159980,1.010323,1.011765,-0.001442,-0.001775,0.000666,是,否,否,0.000333,0.001442,0.000666,2025-06-29 16:58:21
2020-01-16,159980,1.011504,1.012227,-0.000723,-0.001565,0.001683,是,否,否,0.000842,0.000723,0.001683,2025-06-29 16:58:21
2020-01-17,159980,1.012503,1.012655,-0.000151,-0.001282,0.002262,是,否,否,0.001131,0.000151,0.002262,2025-06-29 16:58:21
2020-01-20,159980,1.013041,1.012903,0.000139,-0.000998,0.002273,是,是,否,0.001137,0.000139,0.002273,2025-06-29 16:58:21
2020-01-21,159980,1.011496,1.012169,-0.000673,-0.000933,0.000521,是,否,否,0.00026,0.000673,0.000521,2025-06-29 16:58:21
2020-01-22,159980,1.010959,1.01186,-0.000902,-0.000927,5e-05,是,否,否,2.5e-05,0.000902,5e-05,2025-06-29 16:58:21
2020-01-23,159980,1.008811,1.010759,-0.001948,-0.001131,-0.001635,否,否,否,-0.000817,0.001948,0.001635,2025-06-29 16:58:21
2020-02-03,159980,0.998071,1.005444,-0.007373,-0.002379,-0.009987,否,否,否,-0.004994,0.007373,0.009987,2025-06-29 16:58:21
2020-02-04,159980,0.990675,1.001337,-0.010662,-0.004036,-0.013252,否,否,否,-0.006626,0.010662,0.013252,2025-06-29 16:58:21
2020-02-05,159980,0.985033,0.997831,-0.012797,-0.005788,-0.014019,否,否,否,-0.007009,0.012797,0.014019,2025-06-29 16:58:21
2020-02-06,159980,0.981182,0.995028,-0.013846,-0.0074,-0.012893,否,否,否,-0.006446,0.013846,0.012893,2025-06-29 16:58:21
2020-02-07,159980,0.977308,0.992137,-0.01483,-0.008886,-0.011888,否,否,否,-0.005944,0.01483,0.011888,2025-06-29 16:58:21
2020-02-10,159980,0.973722,0.989312,-0.01559,-0.010227,-0.010727,否,否,否,-0.005363,0.01559,0.010727,2025-06-29 16:58:21
2020-02-11,159980,0.971149,0.986919,-0.01577,-0.011335,-0.008868,否,否,否,-0.004435,0.01577,0.008868,2025-06-29 16:58:21
2020-02-12,159980,0.96928,0.984851,-0.015571,-0.012182,-0.006776,否,否,否,-0.003389,0.015571,0.006776,2025-06-29 16:58:21
2020-02-13,159980,0.968006,0.983084,-0.015078,-0.012761,-0.004633,否,否,否,-0.002317,0.015078,0.004633,2025-06-29 16:58:21
2020-02-14,159980,0.967082,0.981522,-0.01444,-0.013097,-0.002686,否,否,否,-0.001343,0.01444,0.002686,2025-06-29 16:58:21
2020-02-17,159980,0.967223,0.980521,-0.013297,-0.013137,-0.00032,否,否,否,-0.00016,0.013297,0.00032,2025-06-29 16:58:21
2020-02-18,159980,0.967343,0.979593,-0.01225,-0.01296,0.001419,是,否,否,0.00071,0.01225,0.001419,2025-06-29 16:58:21
2020-02-19,159980,0.967598,0.978808,-0.011211,-0.01261,0.002799,是,否,否,0.001399,0.011211,0.002799,2025-06-29 16:58:21
2020-02-20,159980,0.967352,0.97786,-0.010508,-0.012189,0.003364,是,否,否,0.001681,0.010508,0.003364,2025-06-29 16:58:21
2020-02-21,159980,0.966529,0.976685,-0.010156,-0.011783,0.003253,是,否,否,0.001627,0.010156,0.003253,2025-06-29 16:58:21
2020-02-24,159980,0.964755,0.975079,-0.010324,-0.011491,0.002335,是,否,否,0.001167,0.010324,0.002335,2025-06-29 16:58:21
2020-02-25,159980,0.963408,0.973665,-0.010257,-0.011244,0.001974,是,否,否,0.000987,0.010257,0.001974,2025-06-29 16:58:21
2020-02-26,159980,0.961191,0.971838,-0.010647,-0.011125,0.000956,是,否,否,0.000478,0.010647,0.000956,2025-06-29 16:58:21
2020-02-27,159980,0.958854,0.969924,-0.01107,-0.011114,8.8e-05,是,否,否,4.4e-05,0.01107,8.8e-05,2025-06-29 16:58:21
2020-02-28,159980,0.953184,0.966374,-0.01319,-0.011529,-0.003322,否,否,否,-0.001661,0.01319,0.003322,2025-06-29 16:58:21
2020-03-02,159980,0.95131,0.964495,-0.013185,-0.01186,-0.002649,否,否,否,-0.001325,0.013185,0.002649,2025-06-29 16:58:21
2020-03-03,159980,0.950031,0.962903,-0.012871,-0.012062,-0.001617,否,否,否,-0.000809,0.012871,0.001617,2025-06-29 16:58:21
2020-03-04,159980,0.948027,0.960984,-0.012957,-0.012241,-0.001432,否,否,否,-0.000716,0.012957,0.001432,2025-06-29 16:58:21
2020-03-05,159980,0.947561,0.9598,-0.012239,-0.012241,4e-06,是,否,否,2e-06,0.012239,4e-06,2025-06-29 16:58:21
2020-03-06,159980,0.946398,0.958333,-0.011936,-0.01218,0.000489,是,否,否,0.000244,0.011936,0.000489,2025-06-29 16:58:21
2020-03-09,159980,0.941875,0.955272,-0.013397,-0.012423,-0.001947,否,否,否,-0.000974,0.013397,0.001947,2025-06-29 16:58:21
2020-03-10,159980,0.939894,0.953325,-0.013431,-0.012625,-0.001613,否,否,否,-0.000806,0.013431,0.001613,2025-06-29 16:58:21
2020-03-11,159980,0.936987,0.950931,-0.013944,-0.012889,-0.00211,否,否,否,-0.001055,0.013944,0.00211,2025-06-29 16:58:21
2020-03-12,159980,0.933143,0.948047,-0.014904,-0.013292,-0.003225,否,否,否,-0.001612,0.014904,0.003225,2025-06-29 16:58:21
2020-03-13,159980,0.92866,0.944784,-0.016125,-0.013858,-0.004533,否,否,否,-0.002267,0.016125,0.004533,2025-06-29 16:58:21
2020-03-16,159980,0.923327,0.941023,-0.017695,-0.014626,-0.006139,否,否,否,-0.003069,0.017695,0.006139,2025-06-29 16:58:21
2020-03-17,159980,0.917431,0.936873,-0.019442,-0.015589,-0.007706,否,否,否,-0.003853,0.019442,0.007706,2025-06-29 16:58:21
2020-03-18,159980,0.905365,0.929623,-0.024258,-0.017323,-0.013871,否,否,否,-0.006935,0.024258,0.013871,2025-06-29 16:58:21
2020-03-19,159980,0.887924,0.919429,-0.031505,-0.020159,-0.022691,否,否,否,-0.011346,0.031505,0.022691,2025-06-29 16:58:21
2020-03-20,159980,0.878551,0.912582,-0.034031,-0.022934,-0.022195,否,否,否,-0.011097,0.034031,0.022195,2025-06-29 16:58:21
2020-03-23,159980,0.864774,0.903428,-0.038654,-0.026078,-0.025153,否,否,否,-0.012576,0.038654,0.025153,2025-06-29 16:58:21
2020-03-24,159980,0.856193,0.896433,-0.04024,-0.02891,-0.02266,否,否,否,-0.01133,0.04024,0.02266,2025-06-29 16:58:21
2020-03-25,159980,0.851394,0.891142,-0.039748,-0.031078,-0.01734,否,否,否,-0.00867,0.039748,0.01734,2025-06-29 16:58:21
2020-03-26,159980,0.846257,0.885724,-0.039467,-0.032756,-0.013423,否,否,否,-0.006711,0.039467,0.013423,2025-06-29 16:58:21
