代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5,多空排列,排列评分
159766,20250627,0.676333,0.6738,0.668836,0.670914,0.002886,0.4302,0.002533,震荡排列,0.0
159766,20250626,0.675,0.670733,0.667018,0.670686,4.7e-05,0.007,0.004267,震荡排列,0.0
159766,20250625,0.669167,0.665733,0.664927,0.670267,-0.004534,-0.6764,0.003434,震荡排列,0.0
159766,20250624,0.6625,0.661333,0.663818,0.670238,-0.008905,-1.3286,0.001167,中等空头排列,-0.6
159766,20250623,0.657333,0.658933,0.664073,0.67081,-0.011877,-1.7705,-0.0016,中等空头排列,-0.6
159766,20250620,0.658667,0.660933,0.666836,0.672471,-0.011538,-1.7158,-0.002266,中等空头排列,-0.6
159766,20250619,0.661833,0.663667,0.670036,0.67421,-0.010543,-1.5638,-0.001834,中等空头排列,-0.6
159766,20250618,0.6655,0.667333,0.673273,0.675857,-0.008524,-1.2612,-0.001833,中等空头排列,-0.6
159766,20250617,0.668,0.671333,0.676145,0.67721,-0.005877,-0.8678,-0.003333,微弱空头排列,-0.05
159766,20250616,0.6705,0.674667,0.678255,0.678124,-0.003457,-0.5098,-0.004167,震荡排列,0.0
159766,20250613,0.676333,0.679133,0.680473,0.679067,6.6e-05,0.0097,-0.0028,震荡排列,0.0
159766,20250612,0.684667,0.684467,0.682873,0.680024,0.004443,0.6534,0.0002,温和多头排列,0.3
159766,20250611,0.685833,0.684667,0.682455,0.679514,0.005153,0.7583,0.001166,温和多头排列,0.3
159766,20250610,0.683333,0.682867,0.680909,0.678467,0.0044,0.6485,0.000466,温和多头排列,0.3
159766,20250609,0.683,0.682267,0.680109,0.677848,0.004419,0.6519,0.000733,温和多头排列,0.3
159766,20250606,0.681333,0.680267,0.6786,0.676948,0.003319,0.4903,0.001066,温和多头排列,0.3
159766,20250605,0.680833,0.6794,0.677673,0.676386,0.003014,0.4456,0.001433,微弱多头排列,0.05
159766,20250604,0.679167,0.678333,0.676727,0.675781,0.002552,0.3776,0.000834,微弱多头排列,0.05
159766,20250603,0.675667,0.676133,0.675382,0.674952,0.001181,0.175,-0.000466,微弱多头排列,0.05
159766,20250530,0.676,0.676133,0.675309,0.674748,0.001385,0.2053,-0.000133,微弱多头排列,0.05
159766,20250529,0.677667,0.676267,0.6756,0.674714,0.001553,0.2302,0.0014,微弱多头排列,0.05
159766,20250528,0.676667,0.674733,0.675036,0.674286,0.000447,0.0663,0.001934,震荡排列,0.0
159766,20250527,0.673667,0.673333,0.674418,0.67389,-0.000557,-0.0827,0.000334,震荡排列,0.0
159766,20250526,0.671167,0.672933,0.674145,0.673714,-0.000781,-0.1159,-0.001766,震荡排列,0.0
159766,20250523,0.670667,0.673333,0.674218,0.673776,-0.000443,-0.0657,-0.002666,震荡排列,0.0
159766,20250522,0.676667,0.676933,0.675745,0.674733,0.0022,0.3261,-0.000266,微弱多头排列,0.05
159766,20250521,0.679667,0.678067,0.675982,0.675143,0.002924,0.4331,0.0016,微弱多头排列,0.05
159766,20250520,0.678167,0.676533,0.6748,0.67499,0.001543,0.2286,0.001634,震荡排列,0.0
159766,20250519,0.6745,0.674267,0.673345,0.674933,-0.000666,-0.0987,0.000233,震荡排列,0.0
159766,20250516,0.673167,0.673467,0.672636,0.675529,-0.002062,-0.3052,-0.0003,震荡排列,0.0
159766,20250515,0.673,0.6728,0.672218,0.676433,-0.003633,-0.5371,0.0002,震荡排列,0.0
159766,20250514,0.674667,0.6732,0.672418,0.677805,-0.004605,-0.6794,0.001467,震荡排列,0.0
