代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5
515230,20250627,0.838167,0.830467,0.813964,0.805419,0.025048,3.1099,0.0077
515230,20250626,0.835,0.821467,0.807709,0.801967,0.0195,2.4315,0.013533
515230,20250625,0.819,0.806333,0.799291,0.797481,0.008852,1.11,0.012667
515230,20250624,0.792,0.789133,0.790436,0.792871,-0.003738,-0.4715,0.002867
515230,20250623,0.779833,0.7836,0.787945,0.791576,-0.007976,-1.0076,-0.003767
515230,20250620,0.778833,0.785067,0.789255,0.791933,-0.006866,-0.867,-0.006234
515230,20250619,0.792,0.793467,0.794527,0.7941,-0.000633,-0.0797,-0.001467
515230,20250618,0.799333,0.796733,0.797182,0.794686,0.002047,0.2576,0.0026
515230,20250617,0.796833,0.795133,0.797182,0.793933,0.0012,0.1511,0.0017
515230,20250616,0.793333,0.7932,0.796945,0.793167,3.3e-05,0.0042,0.000133
515230,20250613,0.788,0.791533,0.796,0.79219,-0.000657,-0.0829,-0.003533
515230,20250612,0.794167,0.7978,0.798709,0.793124,0.004676,0.5896,-0.003633
515230,20250611,0.7985,0.8016,0.798909,0.793167,0.008433,1.0632,-0.0031
515230,20250610,0.803,0.8042,0.798164,0.793029,0.011171,1.4086,-0.0012
515230,20250609,0.811333,0.806933,0.797527,0.793233,0.0137,1.7271,0.0044
515230,20250606,0.8055,0.800467,0.792309,0.791429,0.009038,1.142,0.005033
515230,20250605,0.800833,0.796133,0.7884,0.79059,0.005543,0.7011,0.0047
515230,20250604,0.788833,0.787067,0.783255,0.789343,-0.002276,-0.2883,0.001766
515230,20250603,0.785833,0.782733,0.781473,0.789995,-0.007262,-0.9192,0.0031
515230,20250530,0.782833,0.780333,0.781145,0.7914,-0.011067,-1.3984,0.0025
515230,20250529,0.7805,0.778667,0.781818,0.79319,-0.014523,-1.831,0.001833
515230,20250528,0.7705,0.773,0.780673,0.793867,-0.020867,-2.6285,-0.0025
515230,20250527,0.775833,0.778533,0.785727,0.797305,-0.018772,-2.3544,-0.0027
515230,20250526,0.779,0.782667,0.789945,0.799895,-0.017228,-2.1538,-0.003667
