代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5,多空排列
513850,20250627,1.421167,1.4148,1.403127,1.394419,0.020381,1.4616,0.006367,强势多头排列
513850,20250626,1.411667,1.404467,1.396309,1.390224,0.014243,1.0245,0.0072,强势多头排列
513850,20250625,1.4015,1.395667,1.391164,1.38691,0.008757,0.6314,0.005833,强势多头排列
513850,20250624,1.393,1.389333,1.387764,1.384376,0.004957,0.3581,0.003667,强势多头排列
513850,20250623,1.3795,1.3816,1.383782,1.381457,0.000143,0.0104,-0.0021,弱势多头
513850,20250620,1.382833,1.384667,1.385327,1.381233,0.003434,0.2486,-0.001834,弱势多头
513850,20250619,1.3845,1.385333,1.3856,1.380257,0.005076,0.3678,-0.000833,弱势多头
513850,20250618,1.389167,1.3876,1.386364,1.379438,0.008162,0.5917,0.001567,强势多头排列
513850,20250617,1.388,1.387467,1.385491,1.377743,0.009724,0.7058,0.000533,强势多头排列
513850,20250616,1.385,1.385933,1.383618,1.375567,0.010366,0.7536,-0.000933,强势多头排列
513850,20250613,1.3835,1.384533,1.381564,1.373433,0.0111,0.8082,-0.001033,强势多头排列
513850,20250612,1.389333,1.386867,1.381818,1.372343,0.014524,1.0583,0.002466,强势多头排列
513850,20250611,1.387833,1.3844,1.3794,1.369967,0.014433,1.0535,0.003433,强势多头排列
513850,20250610,1.381667,1.38,1.375673,1.367,0.013,0.951,0.001667,强势多头排列
513850,20250609,1.377667,1.376667,1.372509,1.364371,0.012296,0.9012,0.001,强势多头排列
513850,20250606,1.375167,1.3732,1.369382,1.361724,0.011476,0.8428,0.001967,强势多头排列
513850,20250605,1.3755,1.373133,1.3672,1.359486,0.013647,1.0038,0.002367,强势多头排列
513850,20250604,1.370833,1.370733,1.363855,1.356433,0.0143,1.0542,0.0001,强势多头排列
513850,20250603,1.366667,1.366133,1.360073,1.352829,0.013304,0.9834,0.000534,强势多头排列
513850,20250530,1.367833,1.3642,1.358182,1.349919,0.014281,1.0579,0.003633,强势多头排列
513850,20250529,1.371,1.363533,1.357545,1.347267,0.016266,1.2073,0.007467,强势多头排列
513850,20250528,1.355333,1.351933,1.351855,1.34171,0.010223,0.7619,0.0034,强势多头排列
513850,20250527,1.3475,1.347067,1.350109,1.337819,0.009248,0.6913,0.000433,弱势多头
513850,20250526,1.344833,1.347133,1.350145,1.3345,0.012633,0.9466,-0.0023,弱势多头
513850,20250523,1.345333,1.3488,1.350364,1.331038,0.017762,1.3344,-0.003467,弱势多头
513850,20250522,1.350833,1.352467,1.350291,1.327181,0.025286,1.9052,-0.001634,强势多头排列
513850,20250521,1.356167,1.3562,1.349018,1.322443,0.033757,2.5526,-3.3e-05,强势多头排列
513850,20250520,1.358333,1.357667,1.345073,1.3163,0.041367,3.1427,0.000666,强势多头排列
513850,20250519,1.353667,1.353067,1.337636,1.308443,0.044624,3.4105,0.0006,强势多头排列
513850,20250516,1.3575,1.350867,1.331327,1.301329,0.049538,3.8067,0.006633,强势多头排列
513850,20250515,1.352333,1.341933,1.322018,1.292924,0.049009,3.7906,0.0104,强势多头排列
513850,20250514,1.3415,1.329867,1.311582,1.284271,0.045596,3.5503,0.011633,强势多头排列
