代码,日期,EMA12,EMA26,EMA差值12-26,EMA差值12-26(%)
159303,2025-06-27,1.549898,1.508526,0.041372,2.7425
159303,2025-06-26,1.550788,1.505609,0.045179,3.0007
159303,2025-06-25,1.549659,1.501497,0.048162,3.2076
159303,2025-06-24,1.542506,1.494497,0.048009,3.2124
159303,2025-06-23,1.535507,1.487577,0.04793,3.222
159303,2025-06-20,1.533781,1.482983,0.050798,3.4254
159303,2025-06-19,1.539014,1.481222,0.057792,3.9016
159303,2025-06-18,1.545199,1.479319,0.06588,4.4534
159303,2025-06-17,1.545053,1.473985,0.071068,4.8215
159303,2025-06-16,1.544335,1.467984,0.076351,5.2011
159303,2025-06-13,1.532396,1.456622,0.075774,5.202
159303,2025-06-12,1.516832,1.443712,0.07312,5.0647
159303,2025-06-11,1.490983,1.426489,0.064494,4.5212
159303,2025-06-10,1.472253,1.413088,0.059165,4.1869
159303,2025-06-09,1.448844,1.398055,0.050789,3.6328
159303,2025-06-06,1.429361,1.38542,0.043941,3.1717
159303,2025-06-05,1.418336,1.377053,0.041283,2.9979
159303,2025-06-04,1.409306,1.369777,0.039529,2.8858
159303,2025-06-03,1.394089,1.35992,0.034169,2.5126
159303,2025-05-30,1.385196,1.353273,0.031923,2.3589
159303,2025-05-29,1.375959,1.346655,0.029304,2.1761
159303,2025-05-28,1.365406,1.339668,0.025738,1.9212
159303,2025-05-27,1.361661,1.335961,0.0257,1.9237
159303,2025-05-26,1.355963,1.331398,0.024565,1.8451
159303,2025-05-23,1.354684,1.32887,0.025814,1.9426
159303,2025-05-22,1.348444,1.324059,0.024385,1.8417
159303,2025-05-21,1.340889,1.318784,0.022105,1.6762
159303,2025-05-20,1.330141,1.312287,0.017854,1.3605
159303,2025-05-19,1.320531,1.30663,0.013901,1.0639
159303,2025-05-16,1.317172,1.30404,0.013132,1.007
159303,2025-05-15,1.314658,1.301883,0.012775,0.9813
159303,2025-05-14,1.315869,1.301394,0.014475,1.1123
159303,2025-05-13,1.316027,1.300305,0.015722,1.2091
159303,2025-05-12,1.317668,1.29977,0.017898,1.377
159303,2025-05-09,1.322153,1.300311,0.021842,1.6798
159303,2025-05-08,1.321454,1.298256,0.023198,1.7869
159303,2025-05-07,1.321718,1.296517,0.025201,1.9437
159303,2025-05-06,1.321485,1.294398,0.027087,2.0926
159303,2025-04-30,1.314119,1.28899,0.025129,1.9495
159303,2025-04-29,1.30705,1.283869,0.023181,1.8056
159303,2025-04-28,1.30015,1.278979,0.021171,1.6553
159303,2025-04-25,1.293813,1.274497,0.019316,1.5156
159303,2025-04-24,1.282688,1.268057,0.014631,1.1538
159303,2025-04-23,1.270268,1.261421,0.008847,0.7014
159303,2025-04-22,1.257953,1.255295,0.002658,0.2117
159303,2025-04-21,1.247944,1.250678,-0.002734,-0.2186
159303,2025-04-18,1.24648,1.250253,-0.003773,-0.3018
159303,2025-04-17,1.24784,1.251153,-0.003313,-0.2648
159303,2025-04-16,1.248719,1.251805,-0.003086,-0.2465
159303,2025-04-15,1.251214,1.253149,-0.001935,-0.1544
159303,2025-04-14,1.248526,1.252121,-0.003595,-0.2871
159303,2025-04-11,1.243348,1.250131,-0.006783,-0.5426
159303,2025-04-10,1.246139,1.251902,-0.005763,-0.4603
159303,2025-04-09,1.254892,1.256214,-0.001322,-0.1052
159303,2025-04-08,1.273781,1.264631,0.00915,0.7235
159303,2025-04-07,1.29665,1.273961,0.022689,1.781
159303,2025-04-03,1.313859,1.279718,0.034141,2.6679
159303,2025-04-02,1.309834,1.275216,0.034618,2.7147
159303,2025-04-01,1.302167,1.269073,0.033094,2.6077
159303,2025-03-31,1.290016,1.261079,0.028937,2.2946
159303,2025-03-28,1.2862,1.257085,0.029115,2.3161
159303,2025-03-27,1.2806,1.252292,0.028308,2.2605
159303,2025-03-26,1.274528,1.247355,0.027173,2.1784
159303,2025-03-25,1.277169,1.246344,0.030825,2.4732
159303,2025-03-24,1.281018,1.245571,0.035447,2.8458
159303,2025-03-21,1.282112,1.243217,0.038895,3.1286
159303,2025-03-20,1.282315,1.240194,0.042121,3.3963
159303,2025-03-19,1.273099,1.23277,0.040329,3.2714
159303,2025-03-18,1.262935,1.225071,0.037864,3.0908
159303,2025-03-17,1.253651,1.217957,0.035694,2.9306
159303,2025-03-14,1.247951,1.212593,0.035358,2.9159
159303,2025-03-13,1.23976,1.206161,0.033599,2.7856
159303,2025-03-12,1.241535,1.204254,0.037281,3.0958
159303,2025-03-11,1.241087,1.201074,0.040013,3.3314
159303,2025-03-10,1.240193,1.19748,0.042713,3.5669
159303,2025-03-07,1.23932,1.193678,0.045642,3.8236
159303,2025-03-06,1.234832,1.188053,0.046779,3.9375
159303,2025-03-05,1.227529,1.181097,0.046432,3.9313
159303,2025-03-04,1.222171,1.175025,0.047146,4.0123
159303,2025-03-03,1.220747,1.170627,0.05012,4.2815
159303,2025-02-28,1.219247,1.165957,0.05329,4.5705
159303,2025-02-27,1.216382,1.160433,0.055949,4.8214
159303,2025-02-26,1.203543,1.150308,0.053235,4.6279
159303,2025-02-25,1.188732,1.139532,0.0492,4.3176
159303,2025-02-24,1.180138,1.131815,0.048323,4.2695
159303,2025-02-21,1.167254,1.12228,0.044974,4.0074
159303,2025-02-20,1.149664,1.110943,0.038721,3.4854
159303,2025-02-19,1.136694,1.102138,0.034556,3.1354
159303,2025-02-18,1.123729,1.093669,0.03006,2.7485
159303,2025-02-17,1.112407,1.086283,0.026124,2.4049
159303,2025-02-14,1.098118,1.077905,0.020213,1.8752
159303,2025-02-13,1.087412,1.071578,0.015834,1.4776
159303,2025-02-12,1.083123,1.068424,0.014699,1.3758
159303,2025-02-11,1.0786,1.065258,0.013342,1.2525
159303,2025-02-10,1.073436,1.061918,0.011518,1.0846
159303,2025-02-07,1.062788,1.056312,0.006476,0.6131
159303,2025-02-06,1.054932,1.052337,0.002595,0.2466
159303,2025-02-05,1.042737,1.046764,-0.004027,-0.3847
159303,2025-01-27,1.039053,1.045465,-0.006412,-0.6133
159303,2025-01-24,1.035608,1.044462,-0.008854,-0.8477
159303,2025-01-23,1.032992,1.044019,-0.011027,-1.0562
159303,2025-01-22,1.032809,1.044821,-0.012012,-1.1497
159303,2025-01-21,1.032592,1.045686,-0.013094,-1.2522
159303,2025-01-20,1.031245,1.046141,-0.014896,-1.4239
159303,2025-01-17,1.028199,1.045993,-0.017794,-1.7012
159303,2025-01-16,1.027871,1.047272,-0.019401,-1.8525
159303,2025-01-15,1.030029,1.049774,-0.019745,-1.8809
159303,2025-01-14,1.031853,1.052156,-0.020303,-1.9297
159303,2025-01-13,1.032553,1.054088,-0.021535,-2.043
159303,2025-01-10,1.038472,1.058415,-0.019943,-1.8842
159303,2025-01-09,1.044013,1.062448,-0.018435,-1.7351
159303,2025-01-08,1.048197,1.065764,-0.017567,-1.6483
159303,2025-01-07,1.055324,1.070305,-0.014981,-1.3997
159303,2025-01-06,1.061201,1.07409,-0.012889,-1.2
159303,2025-01-03,1.065964,1.077217,-0.011253,-1.0446
159303,2025-01-02,1.071776,1.080674,-0.008898,-0.8234
159303,2024-12-31,1.076826,1.083608,-0.006782,-0.6259
159303,2024-12-30,1.078431,1.084857,-0.006426,-0.5923
159303,2024-12-27,1.079236,1.085725,-0.006489,-0.5977
159303,2024-12-26,1.081098,1.087063,-0.005965,-0.5487
159303,2024-12-25,1.081661,1.087788,-0.006127,-0.5633
159303,2024-12-24,1.081963,1.088411,-0.006448,-0.5924
159303,2024-12-23,1.082502,1.089164,-0.006662,-0.6117
159303,2024-12-20,1.08532,1.090938,-0.005618,-0.515
159303,2024-12-19,1.088833,1.092933,-0.0041,-0.3751
159303,2024-12-18,1.091893,1.094607,-0.002714,-0.2479
159303,2024-12-17,1.094965,1.096176,-0.001211,-0.1105
159303,2024-12-16,1.099504,1.09827,0.001234,0.1124
159303,2024-12-13,1.103959,1.100131,0.003828,0.348
159303,2024-12-12,1.105224,1.100382,0.004842,0.44
159303,2024-12-11,1.102719,1.098892,0.003827,0.3483
159303,2024-12-10,1.101032,1.097844,0.003188,0.2904
159303,2024-12-09,1.098492,1.096471,0.002021,0.1843
159303,2024-12-06,1.095491,1.094989,0.000502,0.0458
159303,2024-12-05,1.093217,1.093948,-0.000731,-0.0668
159303,2024-12-04,1.093983,1.094344,-0.000361,-0.033
159303,2024-12-03,1.092344,1.093651,-0.001307,-0.1195
159303,2024-12-02,1.089134,1.092344,-0.00321,-0.2939
159303,2024-11-29,1.086613,1.091491,-0.004878,-0.4469
159303,2024-11-28,1.085451,1.09137,-0.005919,-0.5423
159303,2024-11-27,1.085534,1.09188,-0.006346,-0.5812
159303,2024-11-26,1.083812,1.09163,-0.007818,-0.7162
159303,2024-11-25,1.085415,1.092961,-0.007546,-0.6904
159303,2024-11-22,1.088399,1.094878,-0.006479,-0.5918
159303,2024-11-21,1.094835,1.098228,-0.003393,-0.309
159303,2024-11-20,1.095351,1.098726,-0.003375,-0.3072
159303,2024-11-19,1.095414,1.099024,-0.00361,-0.3285
159303,2024-11-18,1.100035,1.101346,-0.001311,-0.119
159303,2024-11-15,1.106951,1.104494,0.002457,0.2225
159303,2024-11-14,1.112215,1.106613,0.005602,0.5062
159303,2024-11-13,1.117344,1.108422,0.008922,0.8049
159303,2024-11-12,1.119953,1.108856,0.011097,1.0008
159303,2024-11-11,1.120126,1.108045,0.012081,1.0903
159303,2024-11-08,1.119239,1.106688,0.012551,1.1341
159303,2024-11-07,1.117647,1.104983,0.012664,1.1461
159303,2024-11-06,1.115219,1.102902,0.012317,1.1168
159303,2024-11-05,1.115986,1.102254,0.013732,1.2458
159303,2024-11-04,1.116347,1.101314,0.015033,1.365
159303,2024-11-01,1.119319,1.101419,0.0179,1.6252
159303,2024-10-31,1.125377,1.102653,0.022724,2.0608
159303,2024-10-30,1.131264,1.103425,0.027839,2.523
159303,2024-10-29,1.136403,1.103459,0.032944,2.9855
159303,2024-10-28,1.136294,1.100776,0.035518,3.2266
159303,2024-10-25,1.134348,1.097078,0.03727,3.3972
159303,2024-10-24,1.131683,1.092924,0.038759,3.5464
159303,2024-10-23,1.131808,1.089878,0.04193,3.8472
159303,2024-10-22,1.127409,1.084588,0.042821,3.9481
159303,2024-10-21,1.124756,1.079996,0.04476,4.1445
159303,2024-10-18,1.121985,1.075195,0.04679,4.3518
159303,2024-10-17,1.115618,1.068651,0.046967,4.395
159303,2024-10-16,1.115367,1.064783,0.050584,4.7506
159303,2024-10-15,1.11507,1.060605,0.054465,5.1353
159303,2024-10-14,1.11381,1.055694,0.058116,5.505
159303,2024-10-11,1.106321,1.047749,0.058572,5.5903
159303,2024-10-10,1.099834,1.040209,0.059625,5.732
159303,2024-10-09,1.08344,1.028226,0.055214,5.3698
159303,2024-10-08,1.069702,1.017764,0.051938,5.1031
159303,2024-09-30,1.038011,0.999665,0.038346,3.8359
159303,2024-09-27,1.005468,0.982279,0.023189,2.3607
159303,2024-09-26,0.987189,0.972381,0.014808,1.5229
159303,2024-09-25,0.976678,0.966571,0.010107,1.0457
159303,2024-09-24,0.971347,0.963417,0.00793,0.8231
159303,2024-09-23,0.966501,0.96065,0.005851,0.6091
159303,2024-09-20,0.962956,0.958622,0.004334,0.4521
159303,2024-09-19,0.95913,0.956592,0.002538,0.2653
159303,2024-09-18,0.956426,0.9552,0.001226,0.1284
159303,2024-09-13,0.95414,0.954096,4.4e-05,0.0046
159303,2024-09-12,0.95162,0.952983,-0.001363,-0.143
159303,2024-09-11,0.951006,0.952822,-0.001816,-0.1906
159303,2024-09-10,0.950461,0.952728,-0.002267,-0.2379
159303,2024-09-09,0.952,0.953586,-0.001586,-0.1663
159303,2024-09-06,0.954181,0.954673,-0.000492,-0.0515
159303,2024-09-05,0.957123,0.956007,0.001116,0.1167
159303,2024-09-04,0.958418,0.956487,0.001931,0.2019
159303,2024-09-03,0.960495,0.957246,0.003249,0.3394
159303,2024-09-02,0.961494,0.957426,0.004068,0.4249
159303,2024-08-30,0.96322,0.95786,0.00536,0.5596
159303,2024-08-29,0.961078,0.956489,0.004589,0.4798
159303,2024-08-28,0.960183,0.955728,0.004455,0.4661
159303,2024-08-27,0.960398,0.955466,0.004932,0.5162
159303,2024-08-26,0.960834,0.955263,0.005571,0.5832
159303,2024-08-23,0.961713,0.955204,0.006509,0.6814
159303,2024-08-22,0.966388,0.956741,0.009647,1.0083
159303,2024-08-21,0.968822,0.95704,0.011782,1.2311
159303,2024-08-20,0.969153,0.956243,0.01291,1.3501
159303,2024-08-19,0.967909,0.954663,0.013246,1.3875
159303,2024-08-16,0.964256,0.951996,0.01226,1.2878
159303,2024-08-15,0.959938,0.949115,0.010823,1.1403
159303,2024-08-14,0.958836,0.947764,0.011072,1.1682
159303,2024-08-13,0.958261,0.946626,0.011635,1.2291
159303,2024-08-12,0.954127,0.943876,0.010251,1.0861
159303,2024-08-09,0.949059,0.940826,0.008233,0.8751
159303,2024-08-08,0.944888,0.938332,0.006556,0.6987
159303,2024-08-07,0.939776,0.935558,0.004218,0.4509
159303,2024-08-06,0.935372,0.933283,0.002089,0.2238
159303,2024-08-05,0.93144,0.931386,5.4e-05,0.0058
159303,2024-08-02,0.932429,0.931817,0.000612,0.0657
159303,2024-08-01,0.932143,0.931642,0.000501,0.0538
159303,2024-07-31,0.931442,0.931293,0.000149,0.016
159303,2024-07-30,0.930068,0.930677,-0.000609,-0.0654
159303,2024-07-29,0.933898,0.932411,0.001487,0.1595
159303,2024-07-26,0.93497,0.932764,0.002206,0.2365
159303,2024-07-25,0.936056,0.933065,0.002991,0.3206
159303,2024-07-24,0.938793,0.93403,0.004763,0.5099
159303,2024-07-23,0.940756,0.934512,0.006244,0.6682
159303,2024-07-22,0.940166,0.933753,0.006413,0.6868
159303,2024-07-19,0.936378,0.931574,0.004804,0.5157
159303,2024-07-18,0.935356,0.930739,0.004617,0.4961
159303,2024-07-17,0.930875,0.928399,0.002476,0.2667
159303,2024-07-16,0.927034,0.926511,0.000523,0.0564
159303,2024-07-15,0.926313,0.926151,0.000162,0.0175
159303,2024-07-12,0.925097,0.925603,-0.000506,-0.0547
159303,2024-07-11,0.920569,0.923652,-0.003083,-0.3338
159303,2024-07-10,0.919218,0.923304,-0.004086,-0.4425
159303,2024-07-09,0.922167,0.924928,-0.002761,-0.2985
159303,2024-07-08,0.925106,0.926442,-0.001336,-0.1442
159303,2024-07-05,0.928398,0.927998,0.0004,0.0431
159303,2024-07-04,0.926288,0.927038,-0.00075,-0.0809
159303,2024-07-03,0.926886,0.927361,-0.000475,-0.0512
159303,2024-07-02,0.926138,0.92707,-0.000932,-0.1005
159303,2024-07-01,0.927254,0.927635,-0.000381,-0.0411
159303,2024-06-28,0.927846,0.927926,-8e-05,-0.0086
159303,2024-06-27,0.928,0.928,0.0,0.0
