代码,日期,EMA12,EMA26,EMA差值12-26,EMA差值12-26(%),EMA排列,排列评分
159869,2025-06-27,1.20041,1.175934,0.024476,2.0814,中等多头排列,0.7
159869,2025-06-26,1.198484,1.173129,0.025355,2.1613,强势多头排列,1.21
159869,2025-06-25,1.194208,1.169219,0.024989,2.1372,强势多头排列,1.33
159869,2025-06-24,1.189337,1.165077,0.02426,2.0823,强势多头排列,1.1
159869,2025-06-23,1.185217,1.161323,0.023894,2.0575,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2025-06-20,1.185983,1.159749,0.026234,2.262,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2025-06-19,1.187799,1.158449,0.02935,2.5336,强势多头排列,1.1
159869,2025-06-18,1.185944,1.155285,0.030659,2.6538,强势多头排列,1.21
159869,2025-06-17,1.182116,1.151147,0.030969,2.6903,强势多头排列,1.33
159869,2025-06-16,1.1765,1.146199,0.030301,2.6436,强势多头排列,1.33
159869,2025-06-13,1.163682,1.138135,0.025547,2.2446,强势多头排列,1.33
159869,2025-06-12,1.158533,1.133826,0.024707,2.1791,强势多头排列,1.33
159869,2025-06-11,1.148448,1.127412,0.021036,1.8659,强势多头排列,1.33
159869,2025-06-10,1.14053,1.122245,0.018285,1.6293,强势多头排列,1.21
159869,2025-06-09,1.135899,1.118744,0.017155,1.5334,强势多头排列,1.33
159869,2025-06-06,1.130062,1.114804,0.015258,1.3687,强势多头排列,1.33
159869,2025-06-05,1.124619,1.111188,0.013431,1.2087,强势多头排列,1.33
159869,2025-06-04,1.116186,1.106403,0.009783,0.8842,强势多头排列,1.33
159869,2025-06-03,1.109857,1.102836,0.007021,0.6366,强势多头排列,1.21
159869,2025-05-30,1.103831,1.099622,0.004209,0.3828,温和多头排列,0.35
159869,2025-05-29,1.102891,1.098872,0.004019,0.3657,中等多头排列,0.77
159869,2025-05-28,1.098871,1.096782,0.002089,0.1905,EMA信号分化,0.0
159869,2025-05-27,1.098484,1.096445,0.002039,0.186,EMA信号分化,0.0
159869,2025-05-26,1.096572,1.09544,0.001132,0.1033,震荡排列,0.0
159869,2025-05-23,1.092494,1.093555,-0.001061,-0.097,震荡排列,0.0
159869,2025-05-22,1.093492,1.09408,-0.000588,-0.0537,震荡排列,0.0
159869,2025-05-21,1.089764,1.092486,-0.002722,-0.2492,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-05-20,1.089357,1.092525,-0.003168,-0.29,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-05-19,1.087968,1.092167,-0.004199,-0.3845,温和空头排列,-0.35
159869,2025-05-16,1.090144,1.09346,-0.003316,-0.3033,中等空头排列,-0.7
159869,2025-05-15,1.093079,1.095017,-0.001938,-0.177,震荡排列,0.0
159869,2025-05-14,1.09673,1.096779,-4.9e-05,-0.0045,震荡排列,0.0
159869,2025-05-13,1.095226,1.096121,-0.000895,-0.0817,震荡排列,0.0
159869,2025-05-12,1.093631,1.095491,-0.00186,-0.1698,震荡排列,0.0
159869,2025-05-09,1.0912,1.09457,-0.00337,-0.3079,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-05-08,1.090509,1.094535,-0.004026,-0.3678,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-05-07,1.085692,1.092738,-0.007046,-0.6448,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-05-06,1.081454,1.091437,-0.009983,-0.9147,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-04-30,1.073901,1.088912,-0.015011,-1.3785,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-04-29,1.070428,1.088585,-0.018157,-1.6679,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-04-28,1.068142,1.089032,-0.02089,-1.9182,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-04-25,1.066895,1.090155,-0.02326,-2.1336,中等空头排列,-0.7
159869,2025-04-24,1.067967,1.092487,-0.02452,-2.2444,强势空头排列,-1.1
159869,2025-04-23,1.069961,1.095326,-0.025365,-2.3157,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-04-22,1.0685,1.096712,-0.028212,-2.5724,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-04-21,1.0675,1.098529,-0.031029,-2.8246,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-04-18,1.063227,1.099131,-0.035904,-3.2666,震荡排列,0.0
159869,2025-04-17,1.06345,1.102102,-0.038652,-3.5071,强势空头排列,-1.21
159869,2025-04-16,1.066259,1.10643,-0.040171,-3.6307,强势空头排列,-1.21
159869,2025-04-15,1.069943,1.111264,-0.041321,-3.7184,强势空头排列,-1.21
