代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10
513090,2025-06-27,1.7854,1.7233,1.67605,1.544433,0.10935,6.5243,0.0621
513090,2025-06-26,1.7396,1.7061,1.6623,1.540133,0.0773,4.6502,0.0335
513090,2025-06-25,1.6928,1.6922,1.64665,1.536233,0.04615,2.8027,0.0006
513090,2025-06-24,1.6518,1.674,1.6293,1.531517,0.0225,1.381,-0.0222
513090,2025-06-23,1.65,1.6654,1.6189,1.529233,0.0311,1.9211,-0.0154
513090,2025-06-20,1.6612,1.6653,1.61245,1.528417,0.04875,3.0233,-0.0041
513090,2025-06-19,1.6726,1.666,1.6086,1.528583,0.064,3.9786,0.0066
513090,2025-06-18,1.6916,1.6678,1.6058,1.529467,0.0858,5.3431,0.0238
513090,2025-06-17,1.6962,1.6604,1.59925,1.529667,0.09695,6.0622,0.0358
513090,2025-06-16,1.6808,1.6447,1.5899,1.528983,0.0909,5.7173,0.0361
513090,2025-06-13,1.6694,1.6288,1.5806,1.528233,0.0888,5.6181,0.0406
513090,2025-06-12,1.6594,1.6185,1.57445,1.528317,0.08495,5.3955,0.0409
513090,2025-06-11,1.644,1.6011,1.5678,1.526733,0.0762,4.8603,0.0429
513090,2025-06-10,1.6246,1.5846,1.5591,1.525433,0.0655,4.2011,0.04
513090,2025-06-09,1.6086,1.5724,1.55385,1.52465,0.05475,3.5235,0.0362
513090,2025-06-06,1.5882,1.5596,1.54575,1.523983,0.04245,2.7462,0.0286
513090,2025-06-05,1.5776,1.5512,1.54045,1.52415,0.03715,2.4116,0.0264
513090,2025-06-04,1.5582,1.5438,1.5347,1.524817,0.0235,1.5312,0.0144
513090,2025-06-03,1.5446,1.5381,1.52905,1.52505,0.01555,1.017,0.0065
513090,2025-05-30,1.5362,1.5351,1.52315,1.5254,0.01305,0.8568,0.0011
513090,2025-05-29,1.531,1.5324,1.51775,1.52565,0.01325,0.873,-0.0014
513090,2025-05-28,1.5248,1.5304,1.51225,1.525733,0.01255,0.8299,-0.0056
513090,2025-05-27,1.5294,1.5345,1.5091,1.5279,0.0203,1.3452,-0.0051
513090,2025-05-26,1.5316,1.5336,1.50445,1.530083,0.02715,1.8046,-0.002
513090,2025-05-23,1.534,1.5353,1.5011,1.53055,0.0329,2.1917,-0.0013
513090,2025-05-22,1.5338,1.5319,1.4967,1.531733,0.0371,2.4788,0.0019
513090,2025-05-21,1.536,1.5297,1.49145,1.5326,0.04455,2.987,0.0063
513090,2025-05-20,1.5396,1.5256,1.4851,1.532617,0.0545,3.6698,0.014
513090,2025-05-19,1.5356,1.52,1.479,1.533017,0.0566,3.8269,0.0156
513090,2025-05-16,1.5366,1.5112,1.47305,1.533117,0.06355,4.3142,0.0254
513090,2025-05-15,1.53,1.5031,1.4687,1.533767,0.0613,4.1738,0.0269
513090,2025-05-14,1.5234,1.4941,1.46365,1.5337,0.05975,4.0823,0.0293
513090,2025-05-13,1.5116,1.4837,1.4562,1.5333,0.0554,3.8044,0.0279
513090,2025-05-12,1.5044,1.4753,1.44925,1.533683,0.05515,3.8054,0.0291
513090,2025-05-09,1.4858,1.4669,1.43935,1.53325,0.04645,3.2272,0.0189
513090,2025-05-08,1.4762,1.4615,1.43055,1.5339,0.04565,3.1911,0.0147
513090,2025-05-07,1.4648,1.4532,1.42455,1.534183,0.04025,2.8255,0.0116
513090,2025-05-06,1.4558,1.4446,1.4264,1.53385,0.0294,2.0611,0.0112
513090,2025-04-30,1.4462,1.438,1.4301,1.533617,0.0161,1.1258,0.0082
513090,2025-04-29,1.448,1.4349,1.43505,1.5341,0.01295,0.9024,0.0131
513090,2025-04-28,1.4468,1.4343,1.4395,1.5347,0.0073,0.5071,0.0125
513090,2025-04-25,1.4416,1.4332,1.44585,1.534667,-0.00425,-0.2939,0.0084
513090,2025-04-24,1.4334,1.4287,1.45295,1.5342,-0.01955,-1.3455,0.0047
513090,2025-04-23,1.4298,1.4232,1.4608,1.534517,-0.031,-2.1221,0.0066
513090,2025-04-22,1.4218,1.4118,1.4677,1.534383,-0.0459,-3.1273,0.01
513090,2025-04-21,1.4218,1.3996,1.4761,1.534233,-0.0543,-3.6786,0.0222
