代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10,多空排列,排列评分
588930,2025-06-27,1.1178,1.1104,1.119,1.12785,-0.0012,-0.1072,0.0074,方向分化,0.0
588930,2025-06-26,1.1104,1.1078,1.1192,1.129033,-0.0088,-0.7863,0.0026,方向分化,0.0
588930,2025-06-25,1.1066,1.1067,1.11835,1.130383,-0.01175,-1.0507,-0.0001,震荡排列,0.0
588930,2025-06-24,1.1,1.1056,1.1167,1.131217,-0.0167,-1.4955,-0.0056,长期温和空头排列,-0.48
588930,2025-06-23,1.0982,1.1074,1.1177,1.132517,-0.0195,-1.7447,-0.0092,长期中等空头排列,-0.96
588930,2025-06-20,1.103,1.1146,1.11995,1.134817,-0.01695,-1.5135,-0.0116,长期温和空头排列,-0.48
588930,2025-06-19,1.1052,1.1206,1.12305,1.1368,-0.01785,-1.5894,-0.0154,方向分化,0.0
588930,2025-06-18,1.1068,1.1246,1.12515,1.139183,-0.01835,-1.6309,-0.0178,震荡排列,0.0
588930,2025-06-17,1.1112,1.1256,1.12715,1.141717,-0.01595,-1.4151,-0.0144,震荡排列,0.0
588930,2025-06-16,1.1166,1.1273,1.129,1.1447,-0.0124,-1.0983,-0.0107,震荡排列,0.0
588930,2025-06-13,1.1262,1.1276,1.13095,1.147333,-0.00475,-0.42,-0.0014,震荡排列,0.0
588930,2025-06-12,1.136,1.1306,1.1333,1.150133,0.0027,0.2382,0.0054,方向分化,0.0
588930,2025-06-11,1.1424,1.13,1.1358,1.15225,0.0066,0.5811,0.0124,方向分化,0.0
588930,2025-06-10,1.14,1.1278,1.13755,1.154933,0.00245,0.2154,0.0122,方向分化,0.0
588930,2025-06-09,1.138,1.128,1.1398,1.157833,-0.0018,-0.1579,0.01,方向分化,0.0
588930,2025-06-06,1.129,1.1253,1.13965,1.16035,-0.01065,-0.9345,0.0037,方向分化,0.0
588930,2025-06-05,1.1252,1.1255,1.14125,1.16305,-0.01605,-1.4064,-0.0003,震荡排列,0.0
588930,2025-06-04,1.1176,1.1257,1.1431,1.166133,-0.0255,-2.2308,-0.0081,长期中等空头排列,-0.96
588930,2025-06-03,1.1156,1.1287,1.1467,1.168883,-0.0311,-2.7121,-0.0131,长期中等空头排列,-0.96
588930,2025-05-30,1.118,1.1307,1.1495,1.1714,-0.0315,-2.7403,-0.0127,长期中等空头排列,-0.96
588930,2025-05-29,1.1216,1.1343,1.1503,1.173217,-0.0287,-2.495,-0.0127,长期中等空头排列,-0.96
588930,2025-05-28,1.1258,1.136,1.1495,1.175117,-0.0237,-2.0618,-0.0102,长期中等空头排列,-0.96
588930,2025-05-27,1.1338,1.1416,1.14965,1.17885,-0.01585,-1.3787,-0.0078,长期温和空头排列,-0.48
588930,2025-05-26,1.1418,1.1473,1.14985,1.182533,-0.00805,-0.7001,-0.0055,方向分化,0.0
