代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
561280.SH,20250620,1.148,1.154,1.135,1.137,1.147,-0.01,-0.8718,7523.89,858.587
561280.SH,20250619,1.163,1.167,1.143,1.147,1.163,-0.016,-1.3758,14304.0,1645.69
561280.SH,20250618,1.16,1.166,1.155,1.163,1.165,-0.002,-0.1717,22713.0,2630.598
561280.SH,20250617,1.166,1.169,1.161,1.165,1.166,-0.001,-0.0858,19209.0,2237.986
561280.SH,20250616,1.154,1.166,1.154,1.166,1.158,0.008,0.6908,7107.0,827.055
561280.SH,20250613,1.172,1.174,1.156,1.158,1.173,-0.015,-1.2788,24021.0,2787.907
561280.SH,20250612,1.166,1.175,1.166,1.173,1.169,0.004,0.3422,14764.0,1728.947
561280.SH,20250611,1.163,1.173,1.163,1.169,1.16,0.009,0.7759,16168.0,1890.981
561280.SH,20250610,1.174,1.174,1.147,1.16,1.164,-0.004,-0.3436,31524.0,3638.049
561280.SH,20250609,1.155,1.165,1.155,1.164,1.145,0.019,1.6594,19149.58,2225.62
561280.SH,20250606,1.151,1.152,1.143,1.145,1.151,-0.006,-0.5213,17136.0,1966.094
561280.SH,20250605,1.144,1.151,1.14,1.151,1.144,0.007,0.6119,18734.0,2144.877
561280.SH,20250604,1.136,1.147,1.136,1.144,1.135,0.009,0.793,15057.0,1721.077
561280.SH,20250603,1.134,1.138,1.128,1.135,1.126,0.009,0.7993,16520.0,1874.385
561280.SH,20250530,1.128,1.13,1.124,1.126,1.131,-0.005,-0.4421,14048.0,1581.81
561280.SH,20250529,1.115,1.132,1.115,1.131,1.112,0.019,1.7086,7296.0,823.141
561280.SH,20250528,1.118,1.118,1.111,1.112,1.113,-0.001,-0.0898,16630.0,1852.577
561280.SH,20250527,1.108,1.117,1.107,1.113,1.116,-0.003,-0.2688,18523.0,2058.696
561280.SH,20250526,1.105,1.126,1.105,1.116,1.114,0.002,0.1795,11787.0,1313.218
561280.SH,20250523,1.125,1.134,1.114,1.114,1.128,-0.014,-1.2411,21334.0,2406.595
561280.SH,20250522,1.138,1.143,1.128,1.128,1.138,-0.01,-0.8787,28534.0,3230.787
561280.SH,20250521,1.14,1.141,1.133,1.138,1.139,-0.001,-0.0878,26101.0,2964.937
561280.SH,20250520,1.13,1.143,1.13,1.139,1.13,0.009,0.7965,16169.0,1840.986
561280.SH,20250519,1.124,1.132,1.115,1.13,1.124,0.006,0.5338,29602.0,3327.514
561280.SH,20250516,1.124,1.129,1.123,1.124,1.121,0.003,0.2676,16368.0,1843.818
561280.SH,20250515,1.132,1.157,1.12,1.121,1.136,-0.015,-1.3204,20597.0,2319.613
561280.SH,20250514,1.137,1.142,1.128,1.136,1.138,-0.002,-0.1757,22163.0,2514.445
