代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
512640.SH,20250620,2.364,2.382,2.364,2.379,2.359,0.02,0.8478,14243.0,3386.187
512640.SH,20250619,2.371,2.371,2.353,2.359,2.376,-0.017,-0.7155,26968.0,6367.839
512640.SH,20250618,2.373,2.38,2.36,2.376,2.378,-0.002,-0.0841,31029.0,7357.144
512640.SH,20250617,2.372,2.384,2.372,2.378,2.381,-0.003,-0.126,17533.0,4174.004
512640.SH,20250616,2.36,2.381,2.356,2.381,2.352,0.029,1.233,36563.0,8651.82
512640.SH,20250613,2.361,2.371,2.351,2.352,2.37,-0.018,-0.7595,27973.0,6589.943
512640.SH,20250612,2.37,2.38,2.357,2.37,2.366,0.004,0.1691,19099.0,4526.886
512640.SH,20250611,2.354,2.377,2.354,2.366,2.341,0.025,1.0679,11268.0,2674.768
512640.SH,20250610,2.355,2.367,2.338,2.341,2.346,-0.005,-0.2131,31213.0,7343.378
512640.SH,20250609,2.341,2.354,2.338,2.346,2.331,0.015,0.6435,23599.0,5532.421
512640.SH,20250606,2.333,2.347,2.328,2.331,2.338,-0.007,-0.2994,42476.0,9905.046
512640.SH,20250605,2.337,2.344,2.327,2.338,2.334,0.004,0.1714,38015.0,8875.584
512640.SH,20250604,2.314,2.338,2.314,2.334,2.323,0.011,0.4735,42775.0,9985.553
512640.SH,20250603,2.294,2.335,2.294,2.323,2.301,0.022,0.9561,27870.0,6468.194
512640.SH,20250530,2.295,2.303,2.282,2.301,2.295,0.006,0.2614,32781.0,7522.683
512640.SH,20250529,2.289,2.302,2.289,2.295,2.286,0.009,0.3937,30046.0,6903.232
512640.SH,20250528,2.299,2.299,2.281,2.286,2.292,-0.006,-0.2618,36952.0,8452.977
512640.SH,20250527,2.292,2.299,2.286,2.292,2.284,0.008,0.3503,33508.0,7684.064
512640.SH,20250526,2.292,2.302,2.283,2.284,2.294,-0.01,-0.4359,38045.0,8713.689
512640.SH,20250523,2.319,2.328,2.294,2.294,2.319,-0.025,-1.0781,64672.0,14969.523
512640.SH,20250522,2.307,2.321,2.307,2.319,2.314,0.005,0.2161,21308.0,4939.736
512640.SH,20250521,2.318,2.326,2.314,2.314,2.31,0.004,0.1732,25013.0,5802.293
512640.SH,20250520,2.315,2.32,2.304,2.31,2.305,0.005,0.2169,42439.0,9809.328
512640.SH,20250519,2.313,2.314,2.305,2.305,2.305,0.0,0.0,25854.0,5967.79
512640.SH,20250516,2.329,2.331,2.301,2.305,2.332,-0.027,-1.1578,61653.0,14222.205
512640.SH,20250515,2.35,2.356,2.331,2.332,2.352,-0.02,-0.8503,22223.0,5202.443
512640.SH,20250514,2.298,2.368,2.295,2.352,2.303,0.049,2.1277,67215.0,15628.481
512640.SH,20250513,2.295,2.307,2.289,2.303,2.289,0.014,0.6116,50804.0,11689.265
512640.SH,20250512,2.267,2.294,2.256,2.289,2.266,0.023,1.015,66052.0,15092.824
512640.SH,20250509,2.263,2.271,2.26,2.266,2.263,0.003,0.1326,59683.0,13529.563
512640.SH,20250508,2.24,2.27,2.24,2.263,2.244,0.019,0.8467,60033.0,13578.157
512640.SH,20250507,2.226,2.245,2.226,2.244,2.216,0.028,1.2635,57886.0,12976.417
512640.SH,20250506,2.216,2.221,2.208,2.216,2.206,0.01,0.4533,36700.0,8136.454
512640.SH,20250430,2.215,2.221,2.206,2.206,2.231,-0.025,-1.1206,34593.0,7646.649
512640.SH,20250429,2.238,2.246,2.23,2.231,2.239,-0.008,-0.3573,22967.0,5133.426
512640.SH,20250428,2.232,2.242,2.228,2.239,2.242,-0.003,-0.1338,36416.0,8152.708
512640.SH,20250425,2.239,2.246,2.239,2.242,2.24,0.002,0.0893,11325.0,2540.007
512640.SH,20250424,2.236,2.244,2.234,2.24,2.233,0.007,0.3135,37782.0,8463.89
512640.SH,20250423,2.228,2.234,2.224,2.233,2.235,-0.002,-0.0895,28493.0,6356.556
512640.SH,20250422,2.229,2.239,2.228,2.235,2.225,0.01,0.4494,32229.0,7194.635
512640.SH,20250421,2.228,2.247,2.225,2.225,2.238,-0.013,-0.5809,10744.0,2401.065
512640.SH,20250418,2.226,2.238,2.225,2.238,2.219,0.019,0.8562,44019.0,9809.653
512640.SH,20250417,2.207,2.221,2.202,2.219,2.217,0.002,0.0902,12525.0,2772.996
512640.SH,20250416,2.197,2.217,2.192,2.217,2.204,0.013,0.5898,43647.0,9579.865
512640.SH,20250415,2.178,2.204,2.178,2.204,2.188,0.016,0.7313,28574.0,6261.835
512640.SH,20250414,2.186,2.192,2.186,2.188,2.183,0.005,0.229,25344.0,5548.324
512640.SH,20250411,2.2,2.2,2.165,2.183,2.179,0.004,0.1836,27387.0,5964.137
512640.SH,20250410,2.163,2.188,2.163,2.179,2.152,0.027,1.2546,42455.0,9258.637
512640.SH,20250409,2.162,2.183,1.979,2.152,2.141,0.011,0.5138,43643.0,9376.9
512640.SH,20250408,2.127,2.149,2.115,2.141,2.107,0.034,1.6137,20241.0,4307.013
512640.SH,20250407,2.24,2.24,2.075,2.107,2.262,-0.155,-6.8523,21613.0,4562.857
512640.SH,20250403,2.258,2.272,2.258,2.262,2.264,-0.002,-0.0883,36953.0,8363.531
512640.SH,20250402,2.256,2.266,2.252,2.264,2.25,0.014,0.6222,22536.0,5099.169
512640.SH,20250401,2.233,2.262,2.233,2.25,2.255,-0.005,-0.2217,7946.0,1786.043
512640.SH,20250331,2.253,2.28,2.252,2.255,2.274,-0.019,-0.8355,36487.0,8267.817
512640.SH,20250328,2.256,2.28,2.256,2.274,2.278,-0.004,-0.1756,36716.0,8338.861
512640.SH,20250327,2.292,2.292,2.202,2.278,2.27,0.008,0.3524,28251.0,6436.195
512640.SH,20250326,2.264,2.363,2.264,2.27,2.286,-0.016,-0.6999,20973.0,4770.608
512640.SH,20250325,2.26,2.291,2.26,2.286,2.282,0.004,0.1753,30358.0,6937.127
512640.SH,20250324,2.278,2.282,2.276,2.282,2.276,0.006,0.2636,14585.0,3323.229
512640.SH,20250321,2.308,2.308,2.27,2.276,2.304,-0.028,-1.2153,19528.0,4492.072
512640.SH,20250320,2.322,2.322,2.302,2.304,2.325,-0.021,-0.9032,52867.0,12204.372
512640.SH,20250319,2.316,2.331,2.312,2.325,2.312,0.013,0.5623,42002.0,9741.029
512640.SH,20250318,2.311,2.321,2.309,2.312,2.313,-0.001,-0.0432,39753.0,9200.333
512640.SH,20250317,2.338,2.338,2.308,2.313,2.315,-0.002,-0.0864,30476.0,7052.195
512640.SH,20250314,2.26,2.33,2.26,2.315,2.257,0.058,2.5698,48512.0,11191.758
512640.SH,20250313,2.283,2.283,2.252,2.257,2.261,-0.004,-0.1769,16942.0,3832.486
512640.SH,20250312,2.261,2.276,2.254,2.261,2.258,0.003,0.1329,46391.0,10519.377
512640.SH,20250311,2.24,2.258,2.238,2.258,2.25,0.008,0.3556,40380.0,9091.494
512640.SH,20250310,2.264,2.264,2.242,2.25,2.27,-0.02,-0.8811,44123.0,9910.664
512640.SH,20250307,2.276,2.277,2.268,2.27,2.283,-0.013,-0.5694,29741.0,6761.837
512640.SH,20250306,2.262,2.288,2.262,2.283,2.259,0.024,1.0624,22622.0,5152.935
512640.SH,20250305,2.25,2.263,2.245,2.259,2.241,0.018,0.8032,29331.0,6608.357
512640.SH,20250304,2.257,2.257,2.235,2.241,2.235,0.006,0.2685,20190.0,4531.495
