代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
159595.SZ,20250626,1.155,1.162,1.154,1.155,1.16,-0.005,-0.431,1404407.68,162671.875
159595.SZ,20250625,1.143,1.162,1.142,1.16,1.143,0.017,1.4873,2042440.84,234590.519
159595.SZ,20250624,1.129,1.149,1.129,1.143,1.13,0.013,1.1504,3062308.0,350335.309
159595.SZ,20250623,1.125,1.132,1.122,1.13,1.127,0.003,0.2662,1222756.0,137689.955
159595.SZ,20250620,1.125,1.131,1.124,1.127,1.125,0.002,0.1778,1227563.0,138538.017
159595.SZ,20250619,1.133,1.133,1.122,1.125,1.136,-0.011,-0.9683,1607878.07,181277.263
159595.SZ,20250618,1.138,1.14,1.131,1.136,1.138,-0.002,-0.1757,1546605.77,175546.495
159595.SZ,20250617,1.139,1.141,1.134,1.138,1.139,-0.001,-0.0878,1464400.11,166545.523
159595.SZ,20250616,1.139,1.14,1.134,1.139,1.14,-0.001,-0.0877,1261224.26,143355.964
159595.SZ,20250613,1.146,1.146,1.134,1.14,1.146,-0.006,-0.5236,2145279.04,244385.362
159595.SZ,20250612,1.144,1.148,1.14,1.146,1.146,0.0,0.0,1132776.42,129676.288
159595.SZ,20250611,1.133,1.151,1.133,1.146,1.133,0.013,1.1474,1691949.57,194048.521
159595.SZ,20250610,1.138,1.143,1.13,1.133,1.139,-0.006,-0.5268,1722117.36,195728.397
159595.SZ,20250609,1.141,1.145,1.137,1.139,1.14,-0.001,-0.0877,1714169.0,195658.9
159595.SZ,20250606,1.141,1.146,1.139,1.14,1.142,-0.002,-0.1751,2969817.0,338800.446
159595.SZ,20250605,1.139,1.143,1.137,1.142,1.14,0.002,0.1754,1524728.0,173820.198
159595.SZ,20250604,1.137,1.145,1.137,1.14,1.137,0.003,0.2639,1377490.0,157174.048
159595.SZ,20250603,1.14,1.142,1.134,1.137,1.14,-0.003,-0.2632,1472793.0,167607.908
159595.SZ,20250530,1.144,1.144,1.133,1.14,1.146,-0.006,-0.5236,2164091.0,246380.314
159595.SZ,20250529,1.141,1.149,1.136,1.146,1.142,0.004,0.3503,1439540.24,164489.606
159595.SZ,20250528,1.143,1.145,1.139,1.142,1.142,0.0,0.0,1399821.0,159862.559
159595.SZ,20250527,1.147,1.149,1.14,1.142,1.147,-0.005,-0.4359,1447354.0,165558.509
159595.SZ,20250526,1.156,1.158,1.145,1.147,1.158,-0.011,-0.9499,1786470.79,205789.272
159595.SZ,20250523,1.166,1.174,1.158,1.158,1.166,-0.008,-0.6861,2075360.71,242556.708
159595.SZ,20250522,1.167,1.17,1.162,1.166,1.167,-0.001,-0.0857,2034736.0,237295.878
159595.SZ,20250521,1.16,1.174,1.16,1.167,1.159,0.008,0.6903,1963197.0,229215.305
159595.SZ,20250520,1.157,1.165,1.154,1.159,1.153,0.006,0.5204,1544561.02,179032.483
159595.SZ,20250519,1.154,1.154,1.148,1.153,1.157,-0.004,-0.3457,1454996.02,167463.203
159595.SZ,20250516,1.16,1.16,1.151,1.157,1.161,-0.004,-0.3445,2205769.28,254726.304
159595.SZ,20250515,1.168,1.168,1.16,1.161,1.169,-0.008,-0.6843,2053301.01,238756.118
159595.SZ,20250514,1.152,1.175,1.151,1.169,1.152,0.017,1.4757,2954261.06,343755.191
159595.SZ,20250513,1.155,1.157,1.15,1.152,1.153,-0.001,-0.0867,1642742.0,189333.783
159595.SZ,20250512,1.142,1.153,1.142,1.153,1.139,0.014,1.2291,1395060.01,160164.108
159595.SZ,20250509,1.143,1.143,1.135,1.139,1.14,-0.001,-0.0877,1039670.0,118281.413
159595.SZ,20250508,1.128,1.145,1.124,1.14,1.128,0.012,1.0638,1445928.0,164474.14
