代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
511020.SH,20250627,108.4271217712177,108.47601476014759,108.4040590405904,108.4520295202952,108.36715867158671,0.092,0.0783,87660.0,1030686.632
511020.SH,20250626,108.38007380073799,108.42250922509224,108.34963099630995,108.36715867158671,108.3570110701107,0.011,0.0094,101747.0,1195313.858
511020.SH,20250625,108.4391143911439,108.47601476014759,108.35332103321032,108.3570110701107,108.4391143911439,-0.089,-0.0757,117917.0,1386150.078
511020.SH,20250624,108.55073800738006,108.55073800738006,108.4391143911439,108.4391143911439,108.5239852398524,-0.092,-0.0782,94086.0,1106197.125
511020.SH,20250623,108.5350553505535,108.56826568265681,108.50184501845018,108.5239852398524,108.51845018450184,0.006,0.0051,4791.0,56364.37
511020.SH,20250620,108.50092250922508,108.52583025830258,108.4880073800738,108.51845018450184,108.50092250922508,0.019,0.0162,6568.0,77262.522
511020.SH,20250619,108.51845018450184,108.5350553505535,108.46863468634686,108.50092250922508,108.48985239852398,0.012,0.0102,14789.0,173975.952
511020.SH,20250618,108.4990774907749,108.52214022140221,108.47416974169741,108.48985239852398,108.48708487084869,0.003,0.0026,14126.0,166114.594
511020.SH,20250617,108.39022140221402,108.48708487084869,108.36715867158671,108.48708487084869,108.38191881918819,0.114,0.097,34836.0,409500.214
511020.SH,20250616,108.35424354243543,108.43819188191881,108.35424354243543,108.38191881918819,108.34778597785977,0.037,0.0315,22215.0,261047.298
511020.SH,20250613,108.3560885608856,108.38560885608855,108.31642066420665,108.34778597785977,108.34594095940959,0.002,0.0017,21475.6,252236.039
511020.SH,20250612,108.38653136531364,108.43081180811808,108.34040590405904,108.34594095940959,108.38745387453874,-0.045,-0.0383,8426.0,99004.45
511020.SH,20250611,108.41420664206642,108.41420664206642,108.33025830258302,108.38745387453874,108.37177121771217,0.017,0.0145,23000.0,270192.562
511020.SH,20250610,108.36715867158671,108.40774907749076,108.31642066420665,108.37177121771217,108.36623616236162,0.006,0.0051,109536.0,1286612.276
511020.SH,20250609,108.30350553505534,108.37361623616236,108.30350553505534,108.36623616236162,108.25276752767527,0.123,0.1048,121096.0,1422418.493
511020.SH,20250606,108.30719557195572,108.30719557195572,108.21586715867157,108.25276752767527,108.16051660516604,0.1,0.0853,108049.0,1267815.936
511020.SH,20250605,108.1429889298893,108.20664206642066,108.12269372693726,108.16051660516604,108.14391143911438,0.018,0.0154,69317.0,812728.335
511020.SH,20250604,108.10055350553505,108.14391143911438,108.06273062730627,108.14391143911438,108.08671586715866,0.062,0.0529,140895.0,1650912.993
511020.SH,20250603,108.11070110701105,108.13284132841328,108.05258302583026,108.08671586715866,108.03228782287822,0.059,0.0504,27816.0,325898.906
511020.SH,20250530,108.04243542435424,108.070110701107,108.01660516605166,108.03228782287822,107.94649446494464,0.093,0.0795,110000.0,1288470.89
511020.SH,20250529,108.05166051660515,108.05166051660515,107.91236162361623,107.94649446494464,108.08948339483393,-0.155,-0.1323,4234.0,49532.412
511020.SH,20250528,108.0719557195572,108.1180811808118,108.05811808118081,108.08948339483393,108.09594095940959,-0.007,-0.006,11581.0,135683.526
511020.SH,20250527,108.14575645756457,108.1531365313653,108.09132841328413,108.09594095940959,108.16605166051659,-0.076,-0.0648,5408.0,63384.466
511020.SH,20250526,108.17435424354242,108.17435424354242,108.12269372693726,108.16605166051659,108.1531365313653,0.014,0.0119,34099.0,399689.506
511020.SH,20250523,108.09963099630995,108.15867158671585,108.02859778597785,108.1531365313653,108.11346863468633,0.043,0.0367,2401.0,28124.394
511020.SH,20250522,108.190036900369,108.19557195571956,108.10793357933578,108.11346863468633,108.13745387453874,-0.026,-0.0222,6261.0,73410.946
511020.SH,20250521,108.1540590405904,108.18542435424354,108.10793357933578,108.13745387453874,108.1540590405904,-0.018,-0.0154,7377.0,86493.934
511020.SH,20250520,108.19926199261991,108.2380073800738,108.1309963099631,108.1540590405904,108.11070110701105,0.047,0.0401,10018.0,117492.751
511020.SH,20250519,108.0341328413284,108.11439114391143,108.0341328413284,108.11070110701105,108.02214022140221,0.096,0.082,9439.0,110593.263
511020.SH,20250516,108.10147601476014,108.10147601476014,107.97970479704796,108.02214022140221,108.11070110701105,-0.096,-0.0819,23940.0,280269.908
511020.SH,20250515,108.14760147601476,108.21033210332102,108.09963099630995,108.11070110701105,108.1070110701107,0.004,0.0034,103171.0,1209032.433
511020.SH,20250514,108.18081180811808,108.24354243542435,108.09040590405904,108.1070110701107,108.16143911439114,-0.059,-0.0503,8782.0,102949.948
511020.SH,20250513,108.18265682656825,108.19833948339483,108.09778597785977,108.16143911439114,108.37730627306271,-0.234,-0.1992,34870.0,408762.173
511020.SH,20250512,108.4289667896679,108.45387453874537,108.34594095940959,108.37730627306271,108.47693726937268,-0.108,-0.0918,10804.0,126986.682
511020.SH,20250509,108.42988929889297,108.50461254612546,108.4289667896679,108.47693726937268,108.41512915129151,0.067,0.057,24102.0,283450.952
511020.SH,20250508,108.33856088560884,108.43081180811808,108.33856088560884,108.41512915129151,108.30719557195572,0.117,0.0997,104273.0,1225153.853
511020.SH,20250507,108.40129151291512,108.40129151291512,108.26568265682656,108.30719557195572,108.33763837638377,-0.033,-0.0281,44902.0,527087.103
511020.SH,20250506,108.38376383763837,108.38745387453874,108.27583025830258,108.33763837638377,108.39391143911438,-0.061,-0.0519,4702.1,55236.112
511020.SH,20250430,108.32841328413284,108.39575645756457,108.26383763837639,108.39391143911438,108.31918819188192,0.081,0.069,8335.0,97865.453
511020.SH,20250429,108.190036900369,108.31918819188192,108.18819188191881,108.31918819188192,108.15959409594096,0.173,0.1476,4747.0,55710.119
511020.SH,20250428,108.11439114391143,108.19926199261991,108.11439114391143,108.15959409594096,108.11715867158671,0.046,0.0392,77208.0,905181.145
511020.SH,20250425,108.07933579335793,108.14022140221402,108.00553505535055,108.11715867158671,107.97140221402213,0.158,0.135,18037.0,211295.274
511020.SH,20250424,108.09686346863468,108.15498154981549,107.97047970479704,107.97140221402213,108.03136531365313,-0.065,-0.0555,95194.0,1115042.695
511020.SH,20250423,108.08579335793358,108.14667896678965,107.96678966789668,108.03136531365313,108.14667896678965,-0.125,-0.1066,5216.0,61098.288
511020.SH,20250422,108.10239852398524,108.16420664206642,108.10239852398524,108.14667896678965,108.09225092250921,0.059,0.0504,54601.0,640046.472
511020.SH,20250421,108.21771217712177,108.21771217712177,108.09225092250921,108.09225092250921,108.15498154981549,-0.068,-0.058,5661.0,66354.467
511020.SH,20250418,108.18265682656825,108.26383763837639,108.1531365313653,108.15498154981549,108.2490774907749,-0.102,-0.0869,11730.0,137581.492
511020.SH,20250417,108.31457564575645,108.3450184501845,108.22878228782287,108.2490774907749,108.30811808118081,-0.064,-0.0545,6974.0,81853.495
511020.SH,20250416,108.20940959409594,108.30811808118081,108.18634686346863,108.30811808118081,108.15221402214021,0.169,0.1442,12971.0,152216.205
511020.SH,20250415,108.20018450184502,108.22878228782287,108.13284132841328,108.15221402214021,108.17619926199262,-0.026,-0.0222,31747.0,372305.813
511020.SH,20250414,108.1180811808118,108.1771217712177,108.04428044280442,108.17619926199262,108.19741697416974,-0.023,-0.0196,5701.0,66827.258
511020.SH,20250411,108.25922509225092,108.34778597785977,108.14852398523985,108.19741697416974,108.16974169741697,0.03,0.0256,5158.0,60527.968
511020.SH,20250410,107.94649446494464,108.19188191881918,107.8560885608856,108.16974169741697,107.95571955719556,0.232,0.1982,73049.0,856125.868
511020.SH,20250409,108.05811808118081,108.14391143911438,107.92619926199262,107.95571955719556,108.03505535055349,-0.086,-0.0734,31129.0,364699.293
511020.SH,20250408,108.13191881918819,108.13191881918819,107.93450184501845,108.03505535055349,108.23247232472323,-0.214,-0.1824,35976.0,421295.735
511020.SH,20250407,108.22878228782287,108.31088560885608,108.10885608856087,108.23247232472323,107.83025830258302,0.436,0.373,7739.0,90798.976
511020.SH,20250403,107.67619926199262,107.83118081180811,107.53690036900367,107.83025830258302,107.29059040590406,0.585,0.503,5317.0,62091.869
511020.SH,20250402,107.15959409594096,107.30719557195572,107.15867158671585,107.29059040590406,107.15867158671585,0.143,0.1231,5164.0,60007.231
511020.SH,20250401,107.28228782287822,107.28228782287822,107.12177121771218,107.15867158671585,107.17435424354244,-0.017,-0.0146,63845.0,741465.885
511020.SH,20250331,107.2011070110701,107.22416974169741,107.10885608856087,107.17435424354244,107.20479704797047,-0.033,-0.0284,1115.0,12953.808
511020.SH,20250328,107.15867158671585,107.25,107.15867158671585,107.20479704797047,107.25830258302582,-0.058,-0.0499,1105.0,12842.09
511020.SH,20250327,107.19464944649445,107.28690036900369,107.16881918819188,107.25830258302582,107.2490774907749,0.01,0.0086,38300.0,445190.106
511020.SH,20250326,107.08671586715866,107.2490774907749,106.89667896678966,107.2490774907749,107.1180811808118,0.142,0.1223,5705.0,66188.797
511020.SH,20250325,107.18173431734317,107.18173431734317,107.05166051660515,107.1180811808118,106.92712177121771,0.207,0.1786,50555.0,587021.95
511020.SH,20250324,106.94741697416973,106.95571955719556,106.7250922509225,106.92712177121771,106.94833948339483,-0.023,-0.0198,38128.0,442027.352
511020.SH,20250321,107.00553505535055,107.09778597785977,106.88284132841328,106.94833948339483,106.91697416974169,0.034,0.0293,1801.0,20878.064
511020.SH,20250320,106.77767527675276,106.93357933579335,106.76845018450183,106.91697416974169,106.5590405904059,0.388,0.3359,2304.0,26692.05
511020.SH,20250319,106.61070110701107,106.7011070110701,106.54981549815497,106.5590405904059,106.56642066420663,-0.008,-0.0069,3028.0,34979.951
511020.SH,20250318,106.59317343173431,106.64944649446494,106.50092250922509,106.56642066420663,106.64944649446494,-0.09,-0.0778,3811.0,44043.399
511020.SH,20250317,106.73523985239851,106.82749077490774,106.61439114391142,106.64944649446494,106.85055350553505,-0.218,-0.1882,7692.0,88935.859
511020.SH,20250314,106.90867158671585,106.94926199261992,106.64483394833947,106.85055350553505,107.00461254612544,-0.167,-0.144,18823.0,218015.061
511020.SH,20250313,106.71678966789666,107.01476014760148,106.71678966789666,107.00461254612544,106.8440959409594,0.174,0.1502,23757.0,275461.287
511020.SH,20250312,106.60516605166052,106.98431734317343,106.4649446494465,106.8440959409594,106.67343173431733,0.185,0.16,7887.0,91165.563
511020.SH,20250311,107.0830258302583,107.0830258302583,106.62361623616235,106.67343173431733,107.10516605166052,-0.468,-0.4031,69817.0,807943.073
511020.SH,20250310,107.15129151291512,107.19464944649445,107.0571955719557,107.10516605166052,107.2961254612546,-0.207,-0.178,78181.0,907884.467
511020.SH,20250307,107.49538745387454,107.55904059040589,107.20202952029518,107.2961254612546,107.63837638376384,-0.371,-0.318,6260.0,72825.543
511020.SH,20250306,107.85793357933579,107.85793357933579,107.60147601476014,107.63837638376384,107.8560885608856,-0.236,-0.2019,4426.0,51674.483
511020.SH,20250305,107.80996309963099,107.91512915129151,107.80996309963099,107.8560885608856,107.76568265682656,0.098,0.0839,38554.0,450776.496
511020.SH,20250304,107.94926199261991,107.9870848708487,107.75276752767527,107.76568265682656,107.76568265682656,0.0,0.0,5268.0,61580.523
511020.SH,20250303,107.62915129151291,107.76752767527674,107.54520295202951,107.76568265682656,107.56918819188192,0.213,0.1827,7245.0,84527.252
511020.SH,20250228,107.52583025830258,107.58025830258302,107.41236162361623,107.56918819188192,107.51845018450183,0.055,0.0472,10328.6,120387.966
511020.SH,20250227,107.62269372693726,107.66328413284131,107.51845018450183,107.51845018450183,107.65682656826567,-0.15,-0.1285,36970.0,430962.121
511020.SH,20250226,107.53966789667895,107.71217712177122,107.53966789667895,107.65682656826567,107.51568265682656,0.153,0.1313,2799.0,32653.067
511020.SH,20250225,107.5119926199262,107.60424354243541,107.24354243542435,107.51568265682656,107.25830258302582,0.279,0.24,6492.0,75576.651
511020.SH,20250224,107.65682656826567,107.65682656826567,107.24169741697416,107.25830258302582,107.79059040590406,-0.577,-0.4938,27041.0,315292.703
511020.SH,20250221,107.91605166051659,107.93357933579335,107.72232472324723,107.79059040590406,108.03874538745387,-0.269,-0.2297,6059.0,70793.804
511020.SH,20250220,108.12915129151291,108.12915129151291,107.96125461254611,108.03874538745387,108.1411439114391,-0.111,-0.0947,2193.1,25685.936
511020.SH,20250219,108.09778597785977,108.20848708487084,108.010147601476,108.1411439114391,108.09686346863468,0.048,0.041,2454.0,28746.889
511020.SH,20250218,108.19741697416974,108.21033210332102,107.92988929889297,108.09686346863468,108.27306273062729,-0.191,-0.1627,16223.0,189884.747
511020.SH,20250217,108.48708487084869,108.48708487084869,108.23985239852396,108.27306273062729,108.43173431734317,-0.172,-0.1463,9672.1,113546.257
511020.SH,20250214,108.57749077490773,108.61162361623616,108.39575645756457,108.43173431734317,108.61162361623616,-0.195,-0.1656,4120.0,48462.802
511020.SH,20250213,108.64852398523985,108.68173431734317,108.54243542435424,108.61162361623616,108.64852398523985,-0.04,-0.034,10404.0,122478.166
511020.SH,20250212,108.6420664206642,108.690036900369,108.6180811808118,108.64852398523985,108.6420664206642,0.007,0.0059,53320.1,628018.379
511020.SH,20250211,108.62730627306271,108.65682656826569,108.5691881918819,108.6420664206642,108.62730627306271,0.016,0.0136,45828.0,539665.083
511020.SH,20250210,108.74630996309962,108.74630996309962,108.6051660516605,108.62730627306271,108.74630996309962,-0.129,-0.1094,63196.0,744423.222
511020.SH,20250207,108.82380073800738,108.8551660516605,108.74169741697416,108.74630996309962,108.71033210332102,0.039,0.0331,43449.0,512302.891
511020.SH,20250206,108.67158671586715,108.77859778597785,108.66881918819188,108.71033210332102,108.65221402214021,0.063,0.0535,39632.0,467067.052
511020.SH,20250205,108.6070110701107,108.66143911439114,108.4040590405904,108.65221402214021,108.50553505535055,0.159,0.1352,39693.2,467293.5
511020.SH,20250127,108.2841328413284,108.50645756457564,108.2841328413284,108.50553505535055,108.16143911439114,0.373,0.3181,7592.0,89277.537
511020.SH,20250124,108.26660516605166,108.31180811808117,108.11715867158671,108.16143911439114,108.27214022140221,-0.12,-0.1022,13105.0,153638.647
511020.SH,20250123,108.34963099630995,108.42250922509224,108.25184501845018,108.27214022140221,108.3920664206642,-0.13,-0.1106,9346.0,109752.325
511020.SH,20250122,108.46586715867157,108.53321033210332,108.36346863468633,108.3920664206642,108.34870848708486,0.047,0.04,26714.0,313947.015
511020.SH,20250121,108.2610701107011,108.3560885608856,108.21863468634686,108.34870848708486,108.20756457564575,0.153,0.1304,10887.0,127784.402
511020.SH,20250120,108.28966789667895,108.28966789667895,108.190036900369,108.20756457564575,108.35055350553505,-0.155,-0.132,46260.0,542758.858
511020.SH,20250117,108.45571955719556,108.45571955719556,108.30258302583026,108.35055350553505,108.40590405904058,-0.06,-0.0511,41840.0,491496.723
511020.SH,20250116,108.39022140221402,108.48708487084869,108.27675276752767,108.40590405904058,108.48985239852398,-0.091,-0.0774,28379.8,333438.409
511020.SH,20250115,108.47693726937268,108.50830258302582,108.35332103321032,108.48985239852398,108.22693726937268,0.285,0.2429,31351.0,368649.421
511020.SH,20250114,108.27306273062729,108.27306273062729,108.07287822878227,108.22693726937268,108.27583025830258,-0.053,-0.0452,36814.0,431601.98
511020.SH,20250113,108.36346863468633,108.39667896678965,108.07564575645755,108.27583025830258,108.3321033210332,-0.061,-0.0519,35672.0,418439.586
511020.SH,20250110,108.11531365313652,108.34963099630995,107.91881918819188,108.3321033210332,108.38007380073799,-0.052,-0.0443,34432.0,404308.627
511020.SH,20250109,108.63560885608855,108.66420664206642,108.3680811808118,108.38007380073799,108.6180811808118,-0.258,-0.2191,46721.0,549412.292
511020.SH,20250108,108.62269372693726,108.71033210332102,108.6180811808118,108.6180811808118,108.62269372693726,-0.005,-0.0042,20950.0,246722.66
511020.SH,20250107,108.7610701107011,108.7610701107011,108.58487084870848,108.62269372693726,108.76199261992619,-0.151,-0.1281,9828.0,115788.395
511020.SH,20250106,108.760147601476,108.85239852398523,108.64667896678965,108.76199261992619,108.70756457564575,0.059,0.0501,32968.0,388557.497
511020.SH,20250103,108.66881918819188,108.73154981549814,108.51476014760146,108.70756457564575,108.4271217712177,0.304,0.2586,9955.0,117240.428
511020.SH,20250102,108.03690036900367,108.510147601476,108.03690036900367,108.4271217712177,107.81457564575645,0.664,0.5681,19054.0,223771.687
511020.SH,20241231,107.88745387453874,107.97232472324723,107.77675276752767,107.81457564575645,107.69926199261991,0.125,0.1071,12053.1,140980.656
511020.SH,20241230,107.84317343173431,107.88653136531364,107.67988929889297,107.69926199261991,107.85055350553505,-0.164,-0.1403,7366.0,86029.789
511020.SH,20241227,107.71586715867157,107.86439114391143,107.6891143911439,107.85055350553505,107.47140221402213,0.411,0.3528,39961.0,467102.809
511020.SH,20241226,107.60424354243541,107.68726937269372,107.41236162361623,107.47140221402213,107.58856088560886,-0.127,-0.1089,30325.0,353411.244
511020.SH,20241225,107.73247232472323,107.82103321033209,107.55811808118081,107.58856088560886,107.71955719557195,-0.142,-0.1216,17169.0,200272.476
511020.SH,20241224,107.80073800738006,107.93265682656825,107.66236162361623,107.71955719557195,107.92804428044279,-0.226,-0.1932,25110.9,293449.933
511020.SH,20241223,108.10885608856087,108.11623616236162,107.73247232472323,107.92804428044279,107.85516605166052,0.079,0.0676,33118.0,387336.446
511020.SH,20241220,107.6531365313653,107.88376383763837,107.64944649446493,107.85516605166052,107.4880073800738,0.398,0.3416,69417.0,810914.541
511020.SH,20241219,107.51291512915128,107.52767527675276,107.41051660516605,107.4880073800738,107.56549815498154,-0.084,-0.072,55696.0,648753.332
511020.SH,20241218,107.73985239852398,107.82564575645755,107.3929889298893,107.56549815498154,107.66881918819188,-0.112,-0.096,8580.9,100176.316
511020.SH,20241217,107.77952029520294,107.78136531365313,107.55811808118081,107.66881918819188,107.71125461254611,-0.046,-0.0394,13834.1,161419.149
511020.SH,20241216,107.51660516605166,107.81734317343172,107.51660516605166,107.71125461254611,107.51752767527675,0.21,0.1802,10276.0,120018.173
511020.SH,20241213,107.30627306273061,107.59225092250921,107.23431734317343,107.51752767527675,107.04428044280442,0.513,0.4421,43319.2,504310.721
511020.SH,20241212,106.94188191881918,107.070110701107,106.94188191881918,107.04428044280442,106.85424354243541,0.206,0.1778,29095.0,337529.463
511020.SH,20241211,106.75553505535055,106.9031365313653,106.66512915129151,106.85424354243541,106.81549815498154,0.042,0.0363,31723.0,367353.529
511020.SH,20241210,106.05166051660515,106.84963099630995,106.03321033210331,106.81549815498154,106.03782287822877,0.843,0.7334,36122.0,417648.019
511020.SH,20241209,106.00553505535055,106.0691881918819,105.9861623616236,106.03782287822877,105.99723247232471,0.044,0.0383,12633.0,145193.924
511020.SH,20241206,106.04889298892988,106.05996309963098,105.96955719557194,105.99723247232471,106.04059040590404,-0.047,-0.0409,47069.1,541049.793
511020.SH,20241205,105.92250922509224,106.08671586715867,105.89206642066421,106.04059040590404,105.92250922509224,0.128,0.1115,20527.0,235804.139
511020.SH,20241204,105.79335793357933,105.95664206642066,105.75276752767526,105.92250922509224,105.74077490774907,0.197,0.1719,21041.0,241532.476
511020.SH,20241203,105.74723247232471,105.79335793357933,105.68081180811808,105.74077490774907,105.74261992619925,-0.002,-0.0017,15477.0,177362.394
511020.SH,20241202,105.53966789667896,105.74354243542435,105.53966789667896,105.74261992619925,105.39760147601476,0.374,0.3273,21427.0,245404.983
511020.SH,20241129,105.39575645756456,105.41236162361622,105.27121771217712,105.39760147601476,105.25922509225092,0.15,0.1315,21923.0,250389.543
511020.SH,20241128,105.21125461254613,105.29151291512915,105.18450184501845,105.25922509225092,105.21125461254613,0.052,0.0456,23509.0,268185.099
511020.SH,20241127,105.20387453874538,105.28136531365313,105.19464944649447,105.21125461254613,105.23985239852398,-0.031,-0.0272,21432.0,244486.11
511020.SH,20241126,105.16420664206642,105.23985239852398,105.16420664206642,105.23985239852398,105.14852398523983,0.099,0.0869,14489.3,165207.509
511020.SH,20241125,105.07380073800738,105.1660516605166,105.02952029520294,105.14852398523983,105.0821033210332,0.072,0.0632,30458.0,347175.32
511020.SH,20241122,105.06642066420663,105.10332103321032,105.00738007380073,105.0821033210332,105.00922509225092,0.079,0.0694,40163.0,457287.315
511020.SH,20241121,104.90774907749076,105.00922509225092,104.90590405904058,105.00922509225092,104.89667896678966,0.122,0.1073,18198.0,207100.051
511020.SH,20241120,104.88560885608855,104.91143911439114,104.8570110701107,104.89667896678966,104.82472324723246,0.078,0.0686,4120.0,46843.671
511020.SH,20241119,104.86900369003689,104.87269372693727,104.77767527675276,104.82472324723246,104.87269372693727,-0.052,-0.0457,4456.0,50641.069
