代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
159531.SZ,20250625,1.141,1.15,1.135,1.15,1.14,0.01,0.8772,925367.0,105862.825
159531.SZ,20250624,1.112,1.14,1.107,1.14,1.112,0.028,2.518,1181411.0,133577.917
159531.SZ,20250623,1.085,1.113,1.084,1.112,1.092,0.02,1.8315,1136811.0,125063.282
159531.SZ,20250620,1.098,1.106,1.089,1.092,1.101,-0.009,-0.8174,699297.02,76639.481
159531.SZ,20250619,1.117,1.123,1.097,1.101,1.122,-0.021,-1.8717,876222.02,97077.753
159531.SZ,20250618,1.124,1.124,1.111,1.122,1.124,-0.002,-0.1779,853430.0,95375.958
159531.SZ,20250617,1.129,1.131,1.12,1.124,1.129,-0.005,-0.4429,663116.43,74525.556
159531.SZ,20250616,1.108,1.129,1.108,1.129,1.117,0.012,1.0743,645761.43,72527.087
159531.SZ,20250613,1.132,1.135,1.115,1.117,1.136,-0.019,-1.6725,998231.0,111918.435
159531.SZ,20250612,1.126,1.139,1.125,1.136,1.133,0.003,0.2648,551329.0,62537.858
159531.SZ,20250611,1.128,1.139,1.126,1.133,1.129,0.004,0.3543,827234.0,93800.581
159531.SZ,20250610,1.141,1.141,1.112,1.129,1.138,-0.009,-0.7909,957716.0,107895.912
159531.SZ,20250609,1.119,1.138,1.119,1.138,1.12,0.018,1.6071,657495.0,74467.508
159531.SZ,20250606,1.12,1.123,1.117,1.12,1.124,-0.004,-0.3559,439722.0,49235.714
159531.SZ,20250605,1.116,1.127,1.109,1.124,1.115,0.009,0.8072,877560.0,98148.302
159531.SZ,20250604,1.105,1.116,1.104,1.115,1.104,0.011,0.9964,656700.0,73011.558
159531.SZ,20250603,1.09,1.106,1.089,1.104,1.095,0.009,0.8219,960920.02,105862.541
159531.SZ,20250530,1.114,1.114,1.093,1.095,1.117,-0.022,-1.9696,928328.0,102116.265
159531.SZ,20250529,1.096,1.117,1.093,1.117,1.094,0.023,2.1024,964920.0,106991.852
159531.SZ,20250528,1.099,1.102,1.091,1.094,1.099,-0.005,-0.455,673067.0,73766.959
159531.SZ,20250527,1.094,1.1,1.085,1.099,1.096,0.003,0.2737,858075.0,93803.975
159531.SZ,20250526,1.081,1.096,1.08,1.096,1.084,0.012,1.107,893525.0,97308.933
159531.SZ,20250523,1.094,1.104,1.082,1.084,1.095,-0.011,-1.0046,1025378.0,112040.734
159531.SZ,20250522,1.104,1.116,1.094,1.095,1.109,-0.014,-1.2624,942516.0,103863.24
159531.SZ,20250521,1.114,1.116,1.103,1.109,1.118,-0.009,-0.805,851118.0,94359.29
159531.SZ,20250520,1.106,1.118,1.102,1.118,1.107,0.011,0.9937,1029854.0,114603.417
159531.SZ,20250519,1.095,1.107,1.086,1.107,1.097,0.01,0.9116,963452.0,105751.743
159531.SZ,20250516,1.083,1.104,1.08,1.097,1.09,0.007,0.6422,992744.0,108881.882
159531.SZ,20250515,1.101,1.102,1.087,1.09,1.105,-0.015,-1.3575,1208413.0,131954.636
159531.SZ,20250514,1.097,1.111,1.094,1.105,1.1,0.005,0.4545,1157367.0,127375.13
159531.SZ,20250513,1.115,1.119,1.098,1.1,1.106,-0.006,-0.5425,1318420.0,145674.895
159531.SZ,20250512,1.096,1.106,1.092,1.106,1.088,0.018,1.6544,1112891.0,122311.507
159531.SZ,20250509,1.104,1.104,1.082,1.088,1.104,-0.016,-1.4493,1274834.0,139072.147
159531.SZ,20250508,1.086,1.105,1.084,1.104,1.091,0.013,1.1916,984584.0,108243.001
159531.SZ,20250507,1.106,1.108,1.079,1.091,1.087,0.004,0.368,1293696.0,141355.883
159531.SZ,20250506,1.059,1.087,1.059,1.087,1.052,0.035,3.327,944668.0,101543.465
159531.SZ,20250430,1.039,1.056,1.039,1.052,1.037,0.015,1.4465,861454.0,90375.934
