代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
512700.SH,20250624,2.015479,2.038739,2.007338,2.028272,2.02362,0.004,0.2299,1043230.0,181640.069
512700.SH,20250623,1.991056,2.0271090000000003,1.975937,2.02362,1.9945450000000002,0.025,1.4577,1022564.0,176019.378
512700.SH,20250620,1.9712850000000002,1.996871,1.970122,1.9945450000000002,1.9736110000000002,0.018,1.0607,1195020.0,204050.966
512700.SH,20250619,1.967796,1.979426,1.960818,1.9736110000000002,1.975937,-0.002,-0.1177,1033835.0,175132.456
512700.SH,20250618,1.957329,1.9771,1.955003,1.975937,1.958492,0.015,0.8907,865551.0,146372.521
512700.SH,20250617,1.9596550000000001,1.970122,1.95384,1.958492,1.9619810000000002,-0.003,-0.1778,647810.0,109165.43
512700.SH,20250616,1.935232,1.9619810000000002,1.931743,1.9619810000000002,1.936395,0.022,1.3213,861885.0,144212.444
512700.SH,20250613,1.95384,1.9596550000000001,1.932906,1.936395,1.9526770000000002,-0.014,-0.8338,1122107.0,187393.98
512700.SH,20250612,1.9480250000000001,1.957329,1.9387210000000001,1.9526770000000002,1.945699,0.006,0.3586,1060638.0,177875.518
512700.SH,20250611,1.9387210000000001,1.9526770000000002,1.934069,1.945699,1.9387210000000001,0.006,0.3599,969893.0,162051.524
512700.SH,20250610,1.9259279999999999,1.956166,1.9259279999999999,1.9387210000000001,1.928254,0.009,0.5428,806563.0,134711.878
512700.SH,20250609,1.924765,1.9294170000000002,1.909646,1.928254,1.922439,0.005,0.3025,791892.0,130915.898
512700.SH,20250606,1.9201130000000002,1.934069,1.9177870000000001,1.922439,1.91895,0.003,0.1818,598084.0,98937.667
512700.SH,20250605,1.932906,1.9387210000000001,1.9166239999999999,1.91895,1.932906,-0.012,-0.722,633107.0,104705.713
512700.SH,20250604,1.927091,1.9387210000000001,1.921276,1.932906,1.9294170000000002,0.003,0.1808,750110.0,124576.728
512700.SH,20250603,1.8933639999999998,1.9387210000000001,1.8933639999999998,1.9294170000000002,1.898016,0.027,1.6544,765980.0,126043.747
512700.SH,20250530,1.880571,1.901505,1.8794080000000002,1.898016,1.8817340000000002,0.014,0.8653,800678.0,130161.886
512700.SH,20250529,1.885223,1.8887120000000002,1.8759190000000001,1.8817340000000002,1.882897,-0.001,-0.0618,795888.0,128800.456
512700.SH,20250528,1.8875490000000001,1.8956899999999999,1.8724300000000003,1.882897,1.8863860000000001,-0.003,-0.185,709302.0,114839.799
512700.SH,20250527,1.8817340000000002,1.8968530000000001,1.8817340000000002,1.8863860000000001,1.8770820000000001,0.008,0.4957,635177.0,103150.145
512700.SH,20250526,1.889875,1.8968530000000001,1.8724300000000003,1.8770820000000001,1.891038,-0.012,-0.738,876205.0,142001.735
512700.SH,20250523,1.90732,1.9177870000000001,1.889875,1.891038,1.90732,-0.014,-0.8537,948566.0,155260.284
512700.SH,20250522,1.891038,1.911972,1.8863860000000001,1.90732,1.892201,0.013,0.799,701484.0,114562.961
512700.SH,20250521,1.878245,1.901505,1.878245,1.892201,1.8794080000000002,0.011,0.6807,862351.0,140190.337
512700.SH,20250520,1.8770820000000001,1.894527,1.873593,1.8794080000000002,1.874756,0.004,0.2481,937132.0,151780.086
