代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
159528.SZ,20250626,1.058,1.06,1.054,1.057,1.057,0.0,0.0,3940.13,416.623
159528.SZ,20250625,1.041,1.058,1.041,1.057,1.044,0.013,1.2452,6042.0,634.911
159528.SZ,20250624,1.029,1.048,1.026,1.044,1.039,0.005,0.4812,6064.04,631.085
159528.SZ,20250623,1.021,1.04,1.021,1.039,1.028,0.011,1.07,24968.04,2571.731
159528.SZ,20250620,1.03,1.032,1.027,1.028,1.028,0.0,0.0,17538.04,1807.332
159528.SZ,20250619,1.029,1.034,1.023,1.028,1.038,-0.01,-0.9634,9364.04,963.192
159528.SZ,20250618,1.037,1.038,1.033,1.038,1.04,-0.002,-0.1923,545.34,56.438
159528.SZ,20250617,1.036,1.04,1.035,1.04,1.039,0.001,0.0962,1960.0,203.168
159528.SZ,20250616,1.031,1.043,1.026,1.039,1.044,-0.005,-0.4789,5502.0,569.547
159528.SZ,20250613,1.033,1.044,1.032,1.044,1.037,0.007,0.675,1526.0,157.77
159528.SZ,20250612,1.038,1.039,1.035,1.037,1.042,-0.005,-0.4798,2864.0,297.032
159528.SZ,20250611,1.03,1.042,1.03,1.042,1.032,0.01,0.969,2740.0,284.738
159528.SZ,20250610,1.038,1.043,1.028,1.032,1.038,-0.006,-0.578,3969.0,410.309
159528.SZ,20250609,1.039,1.04,1.035,1.038,1.035,0.003,0.2899,4252.0,441.229
159528.SZ,20250606,1.034,1.039,1.034,1.035,1.039,-0.004,-0.385,3438.0,355.843
159528.SZ,20250605,1.029,1.039,1.029,1.039,1.039,0.0,0.0,1298.0,133.933
159528.SZ,20250604,1.026,1.039,1.026,1.039,1.03,0.009,0.8738,2862.0,294.915
159528.SZ,20250603,1.028,1.03,1.026,1.03,1.028,0.002,0.1946,1185.0,121.9
159528.SZ,20250530,1.026,1.028,1.021,1.028,1.03,-0.002,-0.1942,1569.0,161.044
159528.SZ,20250529,1.022,1.03,1.022,1.03,1.022,0.008,0.7828,27509.25,2829.812
159528.SZ,20250528,1.022,1.022,1.018,1.022,1.023,-0.001,-0.0978,1101.0,112.224
159528.SZ,20250527,1.019,1.027,1.019,1.023,1.028,-0.005,-0.4864,578.0,59.011
159528.SZ,20250526,1.022,1.031,1.022,1.028,1.027,0.001,0.0974,2869.0,294.834
159528.SZ,20250523,1.035,1.038,1.026,1.027,1.038,-0.011,-1.0597,1309.0,135.001
159528.SZ,20250522,1.036,1.038,1.034,1.038,1.04,-0.002,-0.1923,3854.0,399.79
159528.SZ,20250521,1.033,1.04,1.033,1.04,1.035,0.005,0.4831,1425.03,147.819
159528.SZ,20250520,1.031,1.037,1.03,1.035,1.033,0.002,0.1936,2566.0,265.229
159528.SZ,20250519,1.034,1.036,1.029,1.033,1.034,-0.001,-0.0967,1359.0,140.159
