代码,日期,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元)
510530.SH,20250624,6.035,6.145,6.035,6.136,6.048,0.088,1.455,33002.0,20215.07
510530.SH,20250623,5.976,6.054,5.976,6.048,6.01,0.038,0.6323,40244.0,24304.784
510530.SH,20250620,6.036,6.057,6.01,6.01,6.041,-0.031,-0.5132,23733.0,14289.195
510530.SH,20250619,6.102,6.106,6.018,6.041,6.104,-0.063,-1.0321,9399.0,5683.092
510530.SH,20250618,6.105,6.12,6.066,6.104,6.108,-0.004,-0.0655,3785.0,2309.395
510530.SH,20250617,6.123,6.132,6.095,6.108,6.124,-0.016,-0.2613,7732.55,4723.899
510530.SH,20250616,6.084,6.138,6.084,6.124,6.102,0.022,0.3605,5837.0,3571.875
510530.SH,20250613,6.13,6.149,6.082,6.102,6.151,-0.049,-0.7966,9920.0,6053.475
510530.SH,20250612,6.138,6.162,6.12,6.151,6.138,0.013,0.2118,6541.0,4021.346
510530.SH,20250611,6.12,6.169,6.114,6.138,6.098,0.04,0.656,3572.0,2193.296
510530.SH,20250610,6.134,6.15,6.058,6.098,6.147,-0.049,-0.7971,7509.0,4571.372
510530.SH,20250609,6.126,6.177,6.122,6.147,6.108,0.039,0.6385,7354.0,4521.035
510530.SH,20250606,6.117,6.117,6.094,6.108,6.104,0.004,0.0655,4163.0,2539.533
510530.SH,20250605,6.056,6.113,6.056,6.104,6.068,0.036,0.5933,5102.0,3108.932
510530.SH,20250604,6.042,6.08,6.042,6.068,6.021,0.047,0.7806,7319.0,4439.588
510530.SH,20250603,5.988,6.036,5.988,6.021,6.006,0.015,0.2498,7670.0,4617.812
510530.SH,20250530,6.03,6.03,5.985,6.006,6.037,-0.031,-0.5135,14681.0,8813.651
510530.SH,20250529,5.951,6.062,5.943,6.037,5.951,0.086,1.4451,15495.0,9345.571
510530.SH,20250528,5.986,5.988,5.951,5.951,5.978,-0.027,-0.4517,7501.0,4472.874
510530.SH,20250527,5.977,5.987,5.946,5.978,5.991,-0.013,-0.217,6321.0,3771.039
510530.SH,20250526,5.976,6.019,5.966,5.991,5.995,-0.004,-0.0667,10206.0,6113.887
510530.SH,20250523,6.024,6.078,5.976,5.995,6.031,-0.036,-0.5969,17170.0,10364.945
510530.SH,20250522,6.053,6.084,6.021,6.031,6.078,-0.047,-0.7733,7211.0,4362.518
510530.SH,20250521,6.064,6.078,6.05,6.078,6.067,0.011,0.1813,5038.66,3057.817
510530.SH,20250520,6.042,6.073,6.023,6.067,6.039,0.028,0.4637,9261.0,5596.258
510530.SH,20250519,6.024,6.048,5.979,6.039,6.02,0.019,0.3156,23921.0,14365.073
510530.SH,20250516,6.024,6.045,6.018,6.02,6.034,-0.014,-0.232,17439.0,10521.528
510530.SH,20250515,6.015,6.105,6.015,6.034,6.106,-0.072,-1.1792,11797.0,7141.791
510530.SH,20250514,6.09,6.156,6.061,6.106,6.088,0.018,0.2957,29295.0,17863.363
510530.SH,20250513,6.19,6.19,6.08,6.088,6.11,-0.022,-0.3601,11578.0,7065.884
510530.SH,20250512,6.059,6.11,6.059,6.11,6.034,0.076,1.2595,18381.0,11176.721
510530.SH,20250509,6.083,6.083,6.011,6.034,6.083,-0.049,-0.8055,13466.0,8128.823
510530.SH,20250508,6.041,6.098,6.036,6.083,6.052,0.031,0.5122,12733.0,7734.581
510530.SH,20250507,6.151,6.151,6.021,6.052,6.049,0.003,0.0496,26180.0,15916.059
510530.SH,20250506,5.98,6.049,5.962,6.049,5.933,0.116,1.9552,15726.0,9468.994
510530.SH,20250430,5.93,5.955,5.926,5.933,5.904,0.029,0.4912,11362.0,6749.158
510530.SH,20250429,5.894,5.932,5.885,5.904,5.904,0.0,0.0,6181.0,3651.028
510530.SH,20250428,5.929,5.929,5.89,5.904,5.934,-0.03,-0.5056,12951.0,7649.785
510530.SH,20250425,5.928,5.977,5.91,5.934,5.913,0.021,0.3551,13414.0,7975.311
510530.SH,20250424,5.94,5.952,5.884,5.913,5.941,-0.028,-0.4713,11763.0,6956.308
510530.SH,20250423,5.982,5.982,5.92,5.941,5.929,0.012,0.2024,15216.0,9047.711
510530.SH,20250422,5.934,5.952,5.92,5.929,5.944,-0.015,-0.2524,13944.7,8274.824
510530.SH,20250421,5.844,5.961,5.842,5.944,5.862,0.082,1.3988,14831.0,8773.008
510530.SH,20250418,5.884,5.892,5.829,5.862,5.867,-0.005,-0.0852,18621.0,10898.022
510530.SH,20250417,5.8,5.918,5.8,5.867,5.844,0.023,0.3936,11956.0,7044.11
510530.SH,20250416,5.914,5.914,5.815,5.844,5.903,-0.059,-0.9995,3661.0,2137.352
510530.SH,20250415,5.917,5.917,5.866,5.903,5.926,-0.023,-0.3881,3454.0,2035.224
510530.SH,20250414,5.928,5.958,5.921,5.926,5.88,0.046,0.7823,9034.0,5354.864
510530.SH,20250411,5.814,5.93,5.814,5.88,5.833,0.047,0.8058,6827.0,4007.407
510530.SH,20250410,5.826,5.914,5.808,5.833,5.712,0.121,2.1183,18462.0,10823.414
510530.SH,20250409,5.557,5.753,5.416,5.712,5.833,-0.121,-2.0744,18008.0,10003.575
510530.SH,20250408,5.553,6.174,5.502,5.833,5.718,0.115,2.0112,30345.0,16894.139
510530.SH,20250407,6.073,6.073,5.55,5.718,6.165,-0.447,-7.2506,18262.0,10471.827
510530.SH,20250403,6.22,6.234,6.135,6.165,6.22,-0.055,-0.8842,14446.0,8928.149
510530.SH,20250402,6.206,6.259,6.206,6.22,6.207,0.013,0.2094,17044.0,10606.977
510530.SH,20250401,6.128,6.247,6.128,6.207,6.174,0.033,0.5345,12971.0,8061.461
510530.SH,20250331,6.194,6.23,6.111,6.174,6.243,-0.069,-1.1052,20522.0,12659.114
510530.SH,20250328,6.295,6.3,6.217,6.243,6.282,-0.039,-0.6208,16203.0,10146.62
510530.SH,20250327,6.23,6.328,6.213,6.282,6.265,0.017,0.2713,18580.0,11641.62
510530.SH,20250326,6.27,6.304,6.263,6.265,6.264,0.001,0.016,18673.0,11733.117
510530.SH,20250325,6.27,6.302,6.243,6.264,6.282,-0.018,-0.2865,21602.0,13543.427
510530.SH,20250324,6.294,6.306,6.198,6.282,6.292,-0.01,-0.1589,20193.0,12654.731
510530.SH,20250321,6.366,6.394,6.263,6.292,6.388,-0.096,-1.5028,27546.0,17445.328
